"Uptime (ms)","System (%)","Time spent in GC (%)","Process (kernel) (%)","Process (user + kernel) (%)"
"10600","0","0","0","0"
"11600","32","0","11","23"
"12700","60","0","10","56"
"14600","100","0","7","98"
"15700","90","0","6","86"
"16700","99","1","4","94"
"18700","99","0","4","94"
"20600","34","0","1","27"
"21600","53","0","1","44"
"22600","27","0","1","15"
"23600","22","0","1","14"
"24600","55","0","4","44"
"25600","20","0","2","13"
"26700","48","0","2","30"
"28600","26","0","3","20"
"29600","47","0","2","41"
"30600","21","0","2","13"
"31600","16","0","2","13"
"32600","52","0","2","47"
"33600","20","0","3","13"
"34700","44","0","2","36"
"35700","20","0","1","15"
"36700","15","0","2","12"
"37700","44","0","3","42"
"38700","16","0","3","14"
"39700","19","0","2","12"
"40700","48","0","3","44"
"41700","20","0","2","15"
"42700","47","0","3","37"
"43700","22","0","1","18"
"44700","16","0","2","13"
"45700","48","0","3","41"
"46700","15","0","1","12"
"47700","21","0","2","13"
"48700","49","0","4","41"
"49700","23","0","1","13"
"50700","56","0","4","39"
"51700","28","0","2","16"
"52700","20","0","2","13"
"53700","46","0","2","42"
"54700","17","0","1","13"
"55700","32","0","4","12"
"56700","56","0","2","40"
"57700","26","0","2","12"
"58700","47","0","3","38"
"59700","19","0","2","14"
"60700","19","0","3","13"
"61700","48","0","2","39"
"62700","20","0","3","13"
"63700","19","0","2","13"
"64700","51","0","2","39"
"65700","16","0","2","12"
"66700","46","0","1","40"
"67700","19","0","2","15"
"68700","18","0","2","13"
"69700","50","0","2","41"
"70700","21","0","2","13"
"71700","17","0","2","14"
"72700","47","0","3","40"
"73700","16","0","2","13"
"74700","46","0","3","36"
"75700","25","0","3","14"
"76700","19","0","3","13"
"77700","48","0","2","40"
"78700","19","0","2","13"
"79700","24","0","1","15"
"80700","47","0","4","38"
"81700","25","0","3","13"
"82700","44","0","2","38"
"83700","21","0","2","13"
"84700","23","0","1","13"
"85700","52","0","2","44"
"86700","42","0","2","13"
"87700","74","0","1","16"
"88700","54","0","2","38"
"89700","17","0","2","13"
"90700","46","0","3","42"
"91700","21","0","2","14"
"92700","29","0","2","13"
"93700","48","0","3","45"
"94700","18","0","2","13"
"95700","17","0","3","15"
"96700","46","0","3","41"
"97700","21","0","2","13"
"98700","46","0","5","40"
"99700","22","0","2","14"
"100700","19","0","2","13"
"101700","53","0","2","46"
"102700","20","0","2","13"
"103700","27","0","3","15"
"104700","42","0","2","39"
"105700","19","0","2","13"
"106700","50","0","2","41"
"107700","19","0","3","13"
"108700","16","0","2","12"
"109700","46","0","4","41"
"110700","20","0","1","13"
"111700","21","0","2","17"
"112700","45","0","1","39"
"113700","17","0","1","13"
"114700","53","0","2","42"
"115700","17","0","2","13"
"116700","15","0","3","12"
"117700","47","0","1","41"
