"Uptime (ms)","Used G1 Old Gen (bytes)","Used G1 Eden Space (bytes)","Used G1 Survivor Space (bytes)","Allocated All Pools (bytes)"
"10600","178580480","19922944","6291456","480247808"
"11600","212134912","85983232","6291456","480247808"
"12700","29843456","36700160","449536","279969792"
"14600","83748864","126877696","34301952","572522496"
"15700","136211456","121634816","29958144","827326464"
"16700","163295232","34603008","52428800","965738496"
"18700","295211008","290455552","56098816","1098907648"
"20600","323793920","314572800","49807360","1228931072"
"21600","348972032","316669952","61865984","1228931072"
"22600","348972032","397410304","61865984","1228931072"
"23600","348972032","481296384","61865984","1228931072"
"24600","371015680","520093696","54525952","1228931072"
"25600","407690240","15728640","42991616","1228931072"
"26700","407690240","428867584","42991616","1228931072"
"28600","423059456","227540992","44564480","1228931072"
"29600","447915008","294649856","40894464","1228931072"
"30600","447915008","377487360","40894464","1228931072"
"31600","447915008","467664896","40894464","1228931072"
"32600","465002496","27262976","61341696","1228931072"
"33600","465002496","109051904","61341696","1228931072"
"34700","496731136","193986560","41943040","1228931072"
"35700","496731136","329252864","41943040","1228931072"
"36700","496731136","417333248","41943040","1228931072"
"37700","521613312","103809024","42991616","1228931072"
"38700","521613312","187695104","42991616","1228931072"
"39700","521613312","274726912","42991616","1228931072"
"40700","534620160","464519168","40894464","1228931072"
"41700","544256000","84934656","49283072","1228931072"
"42700","569937920","214958080","34603008","1228931072"
"43700","569937920","386924544","34603008","1228931072"
"44700","590086144","32505856","26214400","1228931072"
"45700","590086144","278921216","38797312","1228931072"
"46700","590086144","365953024","38797312","1228931072"
"47700","601580544","29360128","36175872","1228931072"
"48700","611842048","282066944","37224448","1228931072"
"49700","611842048","367001600","37224448","1228931072"
"50700","633463808","168820736","37748736","1228931072"
"51700","633463808","336592896","37748736","1228931072"
"52700","645266432","37748736","35651584","1228931072"
"53700","655000576","337641472","37748736","1228931072"
"54700","667122688","56623104","37224448","1228931072"
"55700","667122688","130023424","37224448","1228931072"
"56700","688494592","61865984","32505856","1228931072"
"57700","688494592","138412032","32505856","1228931072"
"58700","704414720","58720256","35651584","1228931072"
"59700","704414720","179306496","35651584","1228931072"
"60700","704414720","265289728","35651584","1228931072"
"61700","724506624","250609664","35127296","1228931072"
"62700","743859200","32505856","25165824","1228931072"
"63700","743859200","121634816","25165824","1228931072"
"64700","757329920","155189248","27262976","1228931072"
"65700","757329920","244318208","27262976","1228931072"
"66700","781404160","23068672","26738688","1228931072"
"67700","781404160","136314880","26738688","1228931072"
"68700","781404160","221249536","26738688","1228931072"
"69700","804723712","68157440","24641536","1228931072"
"70700","804723712","158334976","24641536","1228931072"
"71700","810997760","5242880","25690112","1228931072"
"72700","826631168","164626432","25748480","1228931072"
"73700","839727104","36700160","19922944","1228931072"
"74700","857161728","14680064","19252224","1228931072"
"75700","857161728","105906176","19252224","1228931072"
"76700","857161728","190840832","19252224","1228931072"
"77700","883462144","59768832","15500288","1228931072"
"78700","883462144","138412032","15500288","1228931072"
"79700","892821504","99614720","11460608","1228931072"
"80700","903812096","147849216","14392320","1228931072"
"81700","913746944","67108864","13030400","1228931072"
"82700","929704960","105906176","11662336","1228931072"
"83700","938135552","45088768","11258880","1228931072"
"84700","938135552","128974848","11258880","1228931072"
"85700","961651712","39845888","5242880","1228931072"
"86700","961651712","114294784","5242880","1228931072"
"87700","961651712","114294784","12186624","1228931072"
"88700","981517312","83886080","9585664","1228931072"
"89700","986483712","72351744","11253760","1228931072"
"90700","1009642496","54525952","4131840","1228931072"
"91700","1009642496","62914560","10417152","1228931072"
"92700","1019667456","72351744","798720","1228931072"
"93700","1036899328","5242880","8388608","1228931072"
"94700","1045294080","39845888","796672","1228931072"
"95700","1045294080","0","950272","1228931072"
"96700","1062210560","8388608","8096768","1228931072"
"97700","1070020608","34603008","443392","1415577600"
"98700","1074808832","93323264","10802176","1415577600"
"99700","1074808832","25165824","19262464","1415577600"
"100700","1074808832","109051904","19262464","1415577600"
"101700","1105188864","76546048","6050816","1415577600"
"102700","1105188864","12582912","12424192","1415577600"
"103700","1109530624","19922944","8414208","1415577600"
"104700","1129097216","96468992","5447680","1415577600"
"105700","1129097216","62914560","11985920","1415577600"
"106700","1153019904","25165824","6678528","1415577600"
"107700","1153019904","19922944","12188672","1415577600"
"108700","1159027712","13631488","6291456","1415577600"
"109700","1177026560","0","9681920","1415577600"
"110700","1186398208","15728640","739328","1415577600"
"111700","1186398208","28311552","797696","1415577600"
"112700","1199599616","61865984","5501952","1415577600"
"113700","1209360384","31457280","630784","1415577600"
"114700","1222498304","24117248","3369984","1415577600"
"115700","1223233536","55574528","9437184","1415577600"
"116700","1232695296","8388608","204800","1415577600"
"117700","1245850624","4194304","9437184","1415577600"
