Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,21.88,56.0,16313,9179,0,0,95.0,17.92,0.0,0.0,6144,1101
26,22.66,56.0,16313,9164,0,0,95.0,17.92,0.0,0.0,6144,1101
27,20.9,56.0,16313,9159,0,0,93.0,17.92,0.0,0.0,6144,1101
28,23.83,56.0,16313,9159,0,0,95.0,17.92,0.0,0.0,6144,1101
29,20.7,56.0,16313,9159,0,0,95.0,17.92,0.0,0.0,6144,1101
30,20.9,56.0,16313,9158,0,0,93.0,17.92,0.0,0.0,6144,1101
31,22.07,56.0,16313,9156,0,0,96.0,17.92,0.0,0.0,6144,1101
32,26.76,56.0,16313,9171,0,0,96.0,17.92,0.0,0.0,6144,1101
33,25.0,56.0,16313,9166,0,0,93.0,17.92,0.0,0.0,6144,1101
34,24.02,56.0,16313,9161,0,0,93.0,17.92,0.0,0.0,6144,1101
35,21.15,56.0,16313,9163,0,0,93.0,17.92,0.0,0.0,6144,1101
36,21.29,56.0,16313,9163,0,0,93.0,17.92,0.0,0.0,6144,1101
37,22.07,56.0,16313,9144,0,0,92.0,17.92,0.0,0.0,6144,1101
38,21.09,56.0,16313,9144,0,0,96.0,17.92,0.0,0.0,6144,1101
39,21.68,56.0,16313,9143,0,0,93.0,17.92,0.0,0.0,6144,1101
40,19.14,56.0,16313,9144,0,0,96.0,17.92,0.0,0.0,6144,1101
41,20.31,56.0,16313,9144,0,0,96.0,17.92,0.0,0.0,6144,1101
42,21.88,56.0,16313,9143,0,0,91.0,17.92,0.0,0.0,6144,1101
43,21.68,56.0,16313,9155,0,0,96.0,17.92,0.0,0.0,6144,1101
44,27.69,56.0,16313,9150,0,0,95.0,17.92,0.0,0.0,6144,1101
45,19.73,56.0,16313,9153,0,0,93.0,17.92,0.0,0.0,6144,1101
46,20.9,56.0,16313,9151,0,0,93.0,17.92,0.0,0.0,6144,1101
47,21.92,56.0,16313,9153,0,0,95.0,17.92,0.0,0.0,6144,1101
48,20.31,56.0,16313,9153,0,0,93.0,17.92,0.0,0.0,6144,1101
49,19.92,56.0,16313,9152,0,0,93.0,17.92,0.0,0.0,6144,1101
50,18.36,56.0,16313,9152,0,0,95.0,17.92,0.0,0.0,6144,1101
51,20.51,56.0,16313,9152,0,0,94.0,17.92,0.0,0.0,6144,1101
52,19.53,56.0,16313,9152,0,0,95.0,17.92,0.0,0.0,6144,1101
53,17.19,56.0,16313,9151,0,0,96.0,17.92,0.0,0.0,6144,1101
54,17.97,56.0,16313,9151,0,0,92.0,17.92,0.0,0.0,6144,1101
55,22.85,56.0,16313,9151,0,0,93.0,17.92,0.0,0.0,6144,1101
