Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.6,319.52,61.866,1.666,940.573
26.6,319.52,161.481,1.666,940.573
27.6,319.52,264.241,1.666,940.573
28.6,319.52,365.953,1.666,940.573
29.6,319.52,68.157,0.325,940.573
30.6,319.52,170.918,0.325,940.573
31.6,319.52,272.63,0.325,940.573
32.6,319.52,374.342,0.325,940.573
33.6,319.52,52.429,0.229,940.573
34.6,319.52,152.044,0.229,940.573
35.6,319.52,251.658,0.229,940.573
36.6,319.52,352.322,0.229,940.573
37.6,319.52,11.534,0.185,940.573
38.6,319.52,113.246,0.185,940.573
39.6,319.52,211.812,0.185,940.573
40.6,319.52,313.524,0.185,940.573
41.6,319.52,413.139,0.185,940.573
42.6,319.52,54.526,0.194,940.573
43.6,319.52,157.286,0.194,940.573
44.6,319.52,254.804,0.194,940.573
45.6,319.52,355.467,0.194,940.573
46.6,319.52,457.179,0.194,940.573
47.6,319.52,88.08,0.199,940.573
48.6,319.52,187.695,0.199,940.573
49.6,319.52,289.407,0.199,940.573
50.6,319.52,390.07,0.199,940.573
51.6,319.52,12.583,0.202,940.573
52.6,319.52,110.1,0.202,940.573
53.6,319.52,210.764,0.202,940.573
54.6,319.52,309.33,0.202,940.573
