time (s),total frames,fps
25.001,3062,254
26.001,3316,254
27.003,3570,254
28.002,3824,254
29.0,4081,257
30.002,4336,255
31.004,4585,249
32.0,4832,247
33.0,5078,246
34.003,5324,246
35.003,5566,242
36.001,5815,249
37.001,6070,255
38.003,6324,254
39.0,6579,255
40.004,6832,253
41.002,7083,251
42.0,7337,254
43.0,7589,252
44.0,7837,248
45.0,8088,251
46.0,8346,258
47.003,8608,262
48.002,8870,262
49.002,9130,260
50.002,9386,256
51.003,9642,256
52.002,9893,251
53.003,10145,252
54.002,10386,241
55.001,10632,246
