Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,21.68,56.0,16313,9286,0,0,58.0,21.18,0.0,0.0,6144,1301
26,16.99,56.0,16313,9286,0,0,60.0,21.18,0.0,0.0,6144,1301
27,21.68,56.0,16313,9297,0,0,60.0,21.18,0.0,0.0,6144,1301
28,19.73,56.0,16313,9287,0,0,60.0,21.18,0.0,0.0,6144,1301
29,18.75,56.0,16313,9277,0,0,60.0,21.18,0.0,0.0,6144,1301
30,17.19,56.0,16313,9276,0,0,61.0,21.18,0.0,0.0,6144,1301
31,20.9,56.0,16313,9274,0,0,60.0,21.18,0.0,0.0,6144,1301
32,16.8,56.0,16313,9287,0,0,59.0,21.18,0.0,0.0,6144,1301
33,17.58,56.0,16313,9287,0,0,59.0,21.18,0.0,0.0,6144,1301
34,16.41,56.0,16313,9287,0,0,58.0,21.18,0.0,0.0,6144,1301
35,22.85,56.0,16313,9297,0,0,58.0,21.18,0.0,0.0,6144,1301
36,17.69,57.0,16313,9309,0,0,58.0,21.18,0.0,0.0,6144,1301
37,15.82,57.0,16313,9301,0,0,59.0,21.18,0.0,0.0,6144,1301
38,15.63,57.0,16313,9301,0,0,60.0,21.18,0.0,0.0,6144,1301
39,16.21,57.0,16313,9301,0,0,60.0,21.18,0.0,0.0,6144,1301
40,15.43,57.0,16313,9301,0,0,60.0,21.18,0.0,0.0,6144,1301
41,16.99,57.0,16313,9318,0,0,60.0,21.18,0.0,0.0,6144,1301
42,15.43,57.0,16313,9314,0,0,59.0,21.18,0.0,0.0,6144,1301
43,14.65,57.0,16313,9312,0,0,60.0,21.18,0.0,0.0,6144,1301
44,17.38,57.0,16313,9312,0,0,60.0,21.18,0.0,0.0,6144,1301
45,23.63,57.0,16313,9312,0,0,59.0,21.18,0.0,0.0,6144,1301
46,17.58,56.0,16313,9262,0,0,59.0,21.18,0.0,0.0,6144,1301
47,15.63,56.0,16313,9251,0,0,61.0,21.18,0.0,0.0,6144,1301
48,16.02,56.0,16313,9251,0,0,62.0,21.18,0.0,0.0,6144,1301
49,14.45,56.0,16313,9268,0,0,62.0,21.18,0.0,0.0,6144,1301
50,16.24,57.0,16313,9302,0,0,61.0,21.18,0.0,0.0,6144,1301
51,18.55,57.0,16313,9302,0,0,61.0,21.18,0.0,0.0,6144,1301
52,14.42,57.0,16313,9302,0,0,61.0,21.18,0.0,0.0,6144,1301
53,16.41,57.0,16313,9302,0,0,59.0,21.18,0.0,0.0,6144,1301
54,18.55,57.0,16313,9303,0,0,60.0,21.18,0.0,0.0,6144,1301
