Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,24.61,54.0,16313,8836,0,0,38.0,17.76,0.0,0.0,6144,1091
26,24.41,53.0,16313,8803,0,0,39.0,17.76,0.0,0.0,6144,1091
27,22.27,54.0,16313,8809,0,0,36.0,17.76,0.0,0.0,6144,1091
28,25.39,53.0,16313,8809,0,0,38.0,17.76,0.0,0.0,6144,1091
29,23.24,53.0,16313,8809,0,0,37.0,17.76,0.0,0.0,6144,1091
30,22.85,54.0,16313,8809,0,0,38.0,17.76,0.0,0.0,6144,1091
31,21.09,53.0,16313,8800,0,0,39.0,17.76,0.0,0.0,6144,1091
32,23.65,53.0,16313,8802,0,0,39.0,17.76,0.0,0.0,6144,1091
33,22.07,53.0,16313,8802,0,0,38.0,17.76,0.0,0.0,6144,1091
34,24.62,53.0,16313,8801,0,0,38.0,17.76,0.0,0.0,6144,1091
35,24.61,53.0,16313,8802,0,0,37.0,17.76,0.0,0.0,6144,1091
36,19.92,53.0,16313,8784,0,0,37.0,17.76,0.0,0.0,6144,1091
37,23.44,53.0,16313,8788,0,0,40.0,17.76,0.0,0.0,6144,1091
38,22.85,53.0,16313,8787,0,0,39.0,17.76,0.0,0.0,6144,1091
39,21.92,53.0,16313,8786,0,0,38.0,17.76,0.0,0.0,6144,1091
40,22.07,53.0,16313,8786,0,0,38.0,17.76,0.0,0.0,6144,1091
41,20.12,53.0,16313,8786,0,0,39.0,17.76,0.0,0.0,6144,1091
42,24.02,53.0,16313,8786,0,0,37.0,17.76,0.0,0.0,6144,1091
43,26.95,53.0,16313,8786,0,0,39.0,17.76,0.0,0.0,6144,1091
44,24.22,53.0,16313,8784,0,0,35.0,17.76,0.0,0.0,6144,1091
45,23.63,53.0,16313,8781,0,0,38.0,17.76,0.0,0.0,6144,1091
46,22.85,53.0,16313,8777,0,0,38.0,17.76,0.0,0.0,6144,1091
47,20.19,53.0,16313,8775,0,0,39.0,17.76,0.0,0.0,6144,1091
48,23.83,53.0,16313,8775,0,0,37.0,17.76,0.0,0.0,6144,1091
49,21.88,53.0,16313,8775,0,0,38.0,17.76,0.0,0.0,6144,1091
50,22.07,53.0,16313,8775,0,0,39.0,17.76,0.0,0.0,6144,1091
51,23.24,53.0,16313,8775,0,0,37.0,17.76,0.0,0.0,6144,1091
52,22.07,53.0,16313,8775,0,0,39.0,17.76,0.0,0.0,6144,1091
53,22.07,53.0,16313,8775,0,0,39.0,17.76,0.0,0.0,6144,1091
54,23.83,53.0,16313,8775,0,0,39.0,17.76,0.0,0.0,6144,1091
