Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,16,0,3,12
26.6,17,0,3,12
27.6,18,0,3,13
28.6,17,0,4,13
29.6,19,0,2,14
30.6,19,0,4,14
31.6,18,0,4,13
32.6,18,0,4,12
33.6,15,0,3,13
34.6,15,0,4,12
35.6,16,0,4,12
36.6,18,0,3,14
37.6,21,0,4,16
38.6,18,0,3,13
39.6,17,0,4,13
40.6,21,0,3,14
41.6,17,0,3,13
42.6,16,0,3,12
43.6,15,0,4,12
44.6,16,0,4,12
45.6,15,0,4,13
46.6,15,0,4,12
47.6,17,0,5,13
48.6,15,0,3,13
49.6,17,0,4,13
50.6,17,0,4,13
51.6,16,0,5,11
52.7,14,0,3,10
53.7,15,0,4,12
54.7,18,0,3,15
55.7,17,0,5,12
