Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,16.76,52.0,16313,8620,0,0,36.0,17.29,0.0,0.0,6144,1062
26,16.35,52.0,16313,8612,0,0,38.0,17.29,0.0,0.0,6144,1062
27,18.16,52.0,16313,8636,0,0,31.0,17.29,0.0,0.0,6144,1062
28,16.99,52.0,16313,8635,0,0,33.0,17.29,0.0,0.0,6144,1062
29,19.04,52.0,16313,8634,0,0,37.0,17.29,0.0,0.0,6144,1062
30,17.58,53.0,16313,8651,0,0,37.0,17.29,0.0,0.0,6144,1062
31,18.75,52.0,16313,8635,0,0,37.0,17.29,0.0,0.0,6144,1062
32,18.55,53.0,16313,8648,0,0,36.0,17.29,0.0,0.0,6144,1062
33,15.43,53.0,16313,8648,0,0,30.0,17.29,0.0,0.0,6144,1062
34,14.26,53.0,16313,8665,0,0,33.0,17.29,0.0,0.0,6144,1062
35,15.82,53.0,16313,8665,0,0,36.0,17.29,0.0,0.0,6144,1062
36,15.43,53.0,16313,8657,0,0,37.0,17.29,0.0,0.0,6144,1062
37,21.88,52.0,16313,8543,0,0,36.0,17.29,0.0,0.0,6144,1062
38,16.8,52.0,16313,8558,0,0,32.0,17.29,0.0,0.0,6144,1062
39,17.38,52.0,16313,8557,0,0,35.0,17.29,0.0,0.0,6144,1062
40,20.31,52.0,16313,8625,0,0,35.0,17.29,0.0,0.0,6144,1062
41,19.04,52.0,16313,8617,0,0,37.0,17.29,0.0,0.0,6144,1062
42,16.6,52.0,16313,8625,0,0,37.0,17.29,0.0,0.0,6144,1062
43,14.26,52.0,16313,8625,0,0,38.0,17.29,0.0,0.0,6144,1062
44,16.21,52.0,16313,8625,0,0,41.0,17.29,0.0,0.0,6144,1062
45,15.38,52.0,16313,8625,0,0,31.0,17.29,0.0,0.0,6144,1062
46,15.23,52.0,16313,8625,0,0,33.0,17.29,0.0,0.0,6144,1062
47,16.35,52.0,16313,8625,0,0,36.0,17.29,0.0,0.0,6144,1062
48,16.41,52.0,16313,8625,0,0,38.0,17.29,0.0,0.0,6144,1062
49,16.21,52.0,16313,8625,0,0,38.0,17.29,0.0,0.0,6144,1062
50,15.82,52.0,16313,8625,0,0,38.0,17.29,0.0,0.0,6144,1062
51,17.97,52.0,16313,8625,0,0,39.0,17.29,0.0,0.0,6144,1062
52,15.43,52.0,16313,8625,0,0,38.0,17.29,0.0,0.0,6144,1062
53,14.45,52.0,16313,8625,0,0,37.0,17.29,0.0,0.0,6144,1062
54,15.43,52.0,16313,8620,0,0,38.0,17.29,0.0,0.0,6144,1062
55,19.53,51.0,16313,8473,0,0,37.0,17.29,0.0,0.0,6144,1062
