Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.7,26,0,1,22
26.7,28,0,1,25
27.7,30,0,1,23
28.7,29,0,2,21
29.7,26,0,2,22
30.7,31,0,1,23
31.7,28,0,1,21
32.7,26,0,2,23
33.7,28,0,1,25
34.7,38,0,0,23
35.7,35,0,2,22
36.7,28,0,1,23
37.7,30,0,1,20
38.7,28,0,2,23
39.7,31,0,1,27
40.7,30,0,1,22
41.7,26,0,2,24
42.7,28,0,1,25
43.7,30,0,1,22
44.7,40,0,1,22
45.7,26,0,1,21
46.7,28,0,1,21
47.7,29,0,2,24
48.7,24,0,1,23
49.7,27,0,1,23
50.7,25,0,1,23
51.7,24,0,1,22
52.7,26,0,1,20
53.7,27,0,1,22
54.7,33,0,2,22
55.7,30,0,1,22
