Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,26.73,66.0,16313.0,10847.0,0.0,0.0,47.0,26.55,0.0,0.0,6144.0,1631.0
26,39.26,66.0,16313.0,10854.0,0.0,0.0,41.0,26.55,0.0,0.0,6144.0,1631.0
27,28.27,66.0,16313.0,10844.0,0.0,0.0,38.0,26.55,0.0,0.0,6144.0,1631.0
28,27.5,66.0,16313.0,10836.0,0.0,0.0,40.0,26.55,0.0,0.0,6144.0,1631.0
29,26.95,66.0,16313.0,10845.0,0.0,0.0,50.0,26.55,0.0,0.0,6144.0,1631.0
30,31.84,66.0,16313.0,10850.0,0.0,0.0,65.0,26.55,0.0,0.0,6144.0,1631.0
31,26.35,66.0,16313.0,10849.0,0.0,0.0,74.0,26.55,0.0,0.0,6144.0,1631.0
32,27.93,66.0,16313.0,10849.0,0.0,0.0,64.0,26.55,0.0,0.0,6144.0,1631.0
33,31.25,66.0,16313.0,10839.0,0.0,0.0,49.0,26.55,0.0,0.0,6144.0,1631.0
34,26.56,66.0,16313.0,10846.0,0.0,0.0,43.0,26.55,0.0,0.0,6144.0,1631.0
35,26.76,66.0,16313.0,10846.0,0.0,0.0,42.0,26.55,0.0,0.0,6144.0,1631.0
36,40.04,66.0,16313.0,10856.0,0.0,0.0,37.0,26.55,0.0,0.0,6144.0,1631.0
37,32.03,66.0,16313.0,10863.0,0.0,0.0,51.0,26.55,0.0,0.0,6144.0,1631.0
38,31.45,66.0,16313.0,10844.0,0.0,0.0,68.0,26.55,0.0,0.0,6144.0,1631.0
39,28.13,66.0,16313.0,10858.0,0.0,0.0,73.0,26.55,0.0,0.0,6144.0,1631.0
40,29.88,66.0,16313.0,10854.0,0.0,0.0,63.0,26.55,0.0,0.0,6144.0,1631.0
41,31.64,66.0,16313.0,10870.0,0.0,0.0,51.0,26.55,0.0,0.0,6144.0,1631.0
42,30.27,66.0,16313.0,10863.0,0.0,0.0,42.0,26.55,0.0,0.0,6144.0,1631.0
43,25.59,66.0,16313.0,10829.0,0.0,0.0,43.0,26.55,0.0,0.0,6144.0,1631.0
44,26.56,66.0,16313.0,10831.0,0.0,0.0,42.0,26.55,0.0,0.0,6144.0,1631.0
45,30.66,66.0,16313.0,10858.0,0.0,0.0,53.0,26.55,0.0,0.0,6144.0,1631.0
46,40.82,66.0,16313.0,10852.0,0.0,0.0,70.0,26.55,0.0,0.0,6144.0,1631.0
47,26.37,66.0,16313.0,10857.0,0.0,0.0,74.0,26.55,0.0,0.0,6144.0,1631.0
48,27.34,66.0,16313.0,10833.0,0.0,0.0,66.0,26.55,0.0,0.0,6144.0,1631.0
49,29.49,66.0,16313.0,10858.0,0.0,0.0,51.0,26.55,0.0,0.0,6144.0,1631.0
50,24.8,66.0,16313.0,10865.0,0.0,0.0,45.0,26.55,0.0,0.0,6144.0,1631.0
51,27.34,66.0,16313.0,10860.0,0.0,0.0,45.0,26.55,0.0,0.0,6144.0,1631.0
52,24.41,66.0,16313.0,10865.0,0.0,0.0,43.0,26.55,0.0,0.0,6144.0,1631.0
53,25.19,66.0,16313.0,10841.0,0.0,0.0,55.0,26.55,0.0,0.0,6144.0,1631.0
54,24.8,66.0,16313.0,10865.0,0.0,0.0,74.0,26.55,0.0,0.0,6144.0,1631.0
55,26.37,66.0,16313.0,10868.0,0.0,0.0,79.0,26.55,0.0,0.0,6144.0,1631.0
