time (s),total frames,fps
25.002,1247,136
26.002,1378,131
27.004,1520,142
28.003,1657,137
29.003,1789,132
30.002,1912,123
31.006,2033,121
32.005,2163,130
33.004,2302,139
34.002,2448,146
35.005,2593,145
36.002,2720,127
37.003,2847,127
38.003,2968,121
39.003,3089,121
40.003,3219,130
41.006,3360,141
42.005,3508,148
43.006,3657,149
44.006,3798,141
45.004,3927,129
46.004,4040,113
47.002,4159,119
48.005,4287,128
49.004,4426,139
50.0,4578,152
51.0,4729,151
52.003,4874,145
53.003,5008,134
54.0,5129,121
55.0,5249,120
