Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,17.77,61.0,16313,10089,0,0,36.0,21.57,0.0,0.0,6144,1325
26,17.38,61.0,16313,10095,0,0,37.0,21.57,0.0,0.0,6144,1325
27,20.7,61.0,16313,10095,0,0,38.0,21.57,0.0,0.0,6144,1325
28,27.73,61.0,16313,10106,0,0,40.0,21.57,0.0,0.0,6144,1325
29,18.55,61.0,16313,10080,0,0,40.0,21.57,0.0,0.0,6144,1325
30,17.38,61.0,16313,10088,0,0,37.0,21.6,0.0,0.0,6144,1327
31,15.82,61.0,16313,10088,0,0,33.0,21.6,0.0,0.0,6144,1327
32,14.45,61.0,16313,10088,0,0,35.0,21.6,0.0,0.0,6144,1327
33,16.99,61.0,16313,10088,0,0,36.0,21.6,0.0,0.0,6144,1327
34,16.6,61.0,16313,10088,0,0,37.0,21.6,0.0,0.0,6144,1327
35,15.85,61.0,16313,10088,0,0,38.0,21.6,0.0,0.0,6144,1327
36,15.59,61.0,16313,10088,0,0,42.0,21.6,0.0,0.0,6144,1327
37,21.88,61.0,16313,10100,0,0,40.0,21.6,0.0,0.0,6144,1327
38,24.02,61.0,16313,10101,0,0,36.0,21.6,0.0,0.0,6144,1327
39,14.26,61.0,16313,10101,0,0,31.0,21.6,0.0,0.0,6144,1327
40,16.6,61.0,16313,10102,0,0,36.0,21.6,0.0,0.0,6144,1327
41,17.19,61.0,16313,10103,0,0,37.0,21.6,0.0,0.0,6144,1327
42,15.77,61.0,16313,10103,0,0,38.0,21.6,0.0,0.0,6144,1327
43,16.35,61.0,16313,10102,0,0,38.0,21.6,0.0,0.0,6144,1327
44,15.19,61.0,16313,10087,0,0,41.0,21.6,0.0,0.0,6144,1327
45,13.48,61.0,16313,10094,0,0,40.0,21.6,0.0,0.0,6144,1327
46,15.58,61.0,16313,10093,0,0,37.0,21.6,0.0,0.0,6144,1327
47,18.36,61.0,16313,10092,0,0,32.0,21.6,0.0,0.0,6144,1327
48,22.27,61.0,16313,10094,0,0,33.0,21.6,0.0,0.0,6144,1327
49,18.16,61.0,16313,10092,0,0,35.0,21.6,0.0,0.0,6144,1327
50,13.67,61.0,16313,10093,0,0,37.0,21.6,0.0,0.0,6144,1327
51,16.21,61.0,16313,10088,0,0,38.0,21.6,0.0,0.0,6144,1327
52,15.82,61.0,16313,10094,0,0,42.0,21.6,0.0,0.0,6144,1327
53,15.63,61.0,16313,10095,0,0,40.0,21.6,0.0,0.0,6144,1327
54,14.42,61.0,16313,10095,0,0,37.0,21.6,0.0,0.0,6144,1327
