time (s),total frames,fps
25.0,2393,449
26.0,2838,445
27.001,3287,449
28.0,3737,450
29.0,4176,439
30.0,4634,458
31.0,5088,454
32.001,5549,461
33.001,5983,434
34.0,6446,463
35.0,6918,472
36.002,7385,467
37.0,7841,456
38.0,8312,471
39.001,8769,457
40.0,9245,476
41.0,9711,466
42.001,10186,475
43.001,10664,478
44.0,11150,486
45.001,11636,486
46.0,12119,483
47.002,12612,493
48.002,13100,488
49.0,13586,486
50.001,14070,484
51.0,14551,481
52.001,15031,480
53.001,15509,478
54.0,15989,480
55.001,16469,480
