Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,26.37,61.0,16313,9995,0,0,65.0,19.99,0.0,0.0,6144,1228
26,25.39,61.0,16313,9995,0,0,69.0,19.99,0.0,0.0,6144,1228
27,27.31,61.0,16313,9990,0,0,68.0,19.99,0.0,0.0,6144,1228
28,26.76,61.0,16313,9994,0,0,68.0,19.99,0.0,0.0,6144,1228
29,30.47,61.0,16313,9990,0,0,68.0,19.99,0.0,0.0,6144,1228
30,33.59,60.0,16313,9843,0,0,68.0,19.99,0.0,0.0,6144,1228
31,25.98,60.0,16313,9843,0,0,68.0,19.99,0.0,0.0,6144,1228
32,22.85,60.0,16313,9844,0,0,69.0,19.99,0.0,0.0,6144,1228
33,28.13,60.0,16313,9841,0,0,70.0,19.99,0.0,0.0,6144,1228
34,33.08,60.0,16313,9840,0,0,68.0,19.99,0.0,0.0,6144,1228
35,25.0,60.0,16313,9839,0,0,68.0,19.99,0.0,0.0,6144,1228
36,24.81,60.0,16313,9835,0,0,72.0,19.99,0.0,0.0,6144,1228
37,24.41,60.0,16313,9835,0,0,71.0,19.99,0.0,0.0,6144,1228
38,31.9,60.0,16313,9850,0,0,71.0,19.99,0.0,0.0,6144,1228
39,25.73,60.0,16313,9853,0,0,70.0,19.99,0.0,0.0,6144,1228
40,29.69,60.0,16313,9854,0,0,72.0,19.99,0.0,0.0,6144,1228
41,25.0,60.0,16313,9858,0,0,70.0,19.99,0.0,0.0,6144,1228
42,29.49,60.0,16313,9838,0,0,72.0,19.99,0.0,0.0,6144,1228
43,25.98,60.0,16313,9844,0,0,71.0,19.99,0.0,0.0,6144,1228
44,25.0,60.0,16313,9844,0,0,73.0,19.99,0.0,0.0,6144,1228
45,26.73,60.0,16313,9845,0,0,74.0,19.99,0.0,0.0,6144,1228
46,24.61,60.0,16313,9844,0,0,74.0,19.99,0.0,0.0,6144,1228
47,28.13,60.0,16313,9845,0,0,74.0,19.99,0.0,0.0,6144,1228
48,25.78,60.0,16313,9845,0,0,75.0,19.99,0.0,0.0,6144,1228
49,26.37,60.0,16313,9845,0,0,75.0,19.99,0.0,0.0,6144,1228
50,27.15,60.0,16313,9845,0,0,75.0,19.99,0.0,0.0,6144,1228
51,23.05,60.0,16313,9845,0,0,74.0,19.99,0.0,0.0,6144,1228
52,25.98,60.0,16313,9845,0,0,74.0,19.99,0.0,0.0,6144,1228
53,23.44,60.0,16313,9840,0,0,73.0,19.99,0.0,0.0,6144,1228
54,23.63,60.0,16313,9843,0,0,73.0,19.99,0.0,0.0,6144,1228
