Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.7,14,0,1,11
26.7,17,0,2,12
27.7,15,0,2,12
28.7,16,0,2,13
29.7,17,0,2,13
30.7,16,0,2,13
31.7,18,0,2,15
32.7,17,0,1,13
33.7,15,0,1,13
34.7,14,0,2,11
35.7,15,0,2,12
36.7,14,0,1,12
37.7,15,0,2,12
38.7,18,0,3,14
39.7,15,0,3,13
40.7,16,0,2,13
41.7,15,0,1,12
42.7,16,0,2,13
43.7,17,0,3,13
44.7,17,0,2,13
45.7,15,0,2,12
46.7,16,0,2,12
47.7,17,0,2,11
48.7,16,0,3,13
49.7,17,0,2,13
50.7,16,0,2,13
51.7,16,0,1,13
52.7,19,0,3,12
53.7,17,0,2,12
54.7,16,0,2,13
55.7,17,0,2,13
