Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,15.04,58.0,16313,9609,0,0,38.0,19.37,0.0,0.0,6144,1190
26,14.65,58.0,16313,9608,0,0,39.0,19.37,0.0,0.0,6144,1190
27,16.73,58.0,16313,9589,0,0,39.0,19.37,0.0,0.0,6144,1190
28,15.63,58.0,16313,9588,0,0,39.0,19.37,0.0,0.0,6144,1190
29,15.96,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
30,17.58,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
31,17.53,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
32,15.4,58.0,16313,9587,0,0,39.0,19.37,0.0,0.0,6144,1190
33,16.8,58.0,16313,9587,0,0,41.0,19.37,0.0,0.0,6144,1190
34,15.26,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
35,13.65,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
36,15.19,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
37,14.26,58.0,16313,9587,0,0,39.0,19.37,0.0,0.0,6144,1190
38,15.23,58.0,16313,9587,0,0,39.0,19.37,0.0,0.0,6144,1190
39,18.16,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
40,15.43,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
41,15.63,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
42,15.82,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
43,16.92,58.0,16313,9587,0,0,40.0,19.37,0.0,0.0,6144,1190
44,16.21,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
45,16.6,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
46,13.87,58.0,16313,9586,0,0,40.0,19.37,0.0,0.0,6144,1190
47,16.8,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
48,16.6,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
49,16.41,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
50,16.21,58.0,16313,9588,0,0,41.0,19.37,0.0,0.0,6144,1190
51,16.02,58.0,16313,9588,0,0,40.0,19.37,0.0,0.0,6144,1190
52,17.19,58.0,16313,9588,0,0,41.0,19.37,0.0,0.0,6144,1190
53,19.23,58.0,16313,9588,0,0,41.0,19.37,0.0,0.0,6144,1190
54,16.6,58.0,16313,9588,0,0,44.0,19.37,0.0,0.0,6144,1190
