Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,14.62,59.0,16313,9661,0,0,34.0,19.56,0.0,0.0,6144,1202
26,15.96,59.0,16313,9630,0,0,38.0,19.56,0.0,0.0,6144,1202
27,50.59,59.0,16313,9651,0,0,27.0,19.56,0.0,0.0,6144,1202
28,21.29,58.0,16313,9503,0,0,39.0,19.56,0.0,0.0,6144,1202
29,29.88,58.0,16313,9486,0,0,35.0,19.56,0.0,0.0,6144,1202
30,29.88,58.0,16313,9511,0,0,30.0,19.56,0.0,0.0,6144,1202
31,16.41,58.0,16313,9511,0,0,38.0,19.56,0.0,0.0,6144,1202
32,41.8,58.0,16313,9495,0,0,29.0,19.56,0.0,0.0,6144,1202
33,14.84,58.0,16313,9512,0,0,38.0,19.56,0.0,0.0,6144,1202
34,14.84,58.0,16313,9512,0,0,39.0,19.56,0.0,0.0,6144,1202
35,45.31,58.0,16313,9522,0,0,28.0,19.56,0.0,0.0,6144,1202
36,15.77,58.0,16313,9532,0,0,40.0,19.56,0.0,0.0,6144,1202
37,31.73,58.0,16313,9502,0,0,35.0,19.56,0.0,0.0,6144,1202
38,26.56,58.0,16313,9531,0,0,30.0,19.56,0.0,0.0,6144,1202
39,13.65,58.0,16313,9531,0,0,39.0,19.56,0.0,0.0,6144,1202
40,45.9,58.0,16313,9534,0,0,29.0,19.56,0.0,0.0,6144,1202
41,15.96,58.0,16313,9535,0,0,39.0,19.56,0.0,0.0,6144,1202
42,15.04,58.0,16313,9534,0,0,40.0,19.56,0.0,0.0,6144,1202
43,43.16,58.0,16313,9533,0,0,29.0,19.56,0.0,0.0,6144,1202
44,16.99,58.0,16313,9534,0,0,40.0,19.56,0.0,0.0,6144,1202
45,36.52,58.0,16313,9534,0,0,35.0,19.56,0.0,0.0,6144,1202
46,25.98,58.0,16313,9539,0,0,41.0,19.56,0.0,0.0,6144,1202
47,18.95,58.0,16313,9533,0,0,28.0,19.56,0.0,0.0,6144,1202
48,49.8,58.0,16313,9541,0,0,19.0,19.6,0.0,0.0,6144,1204
49,15.23,58.0,16313,9537,0,0,33.0,19.58,0.0,0.0,6144,1203
50,14.84,58.0,16313,9545,0,0,36.0,19.58,0.0,0.0,6144,1203
51,45.51,58.0,16313,9547,0,0,28.0,19.58,0.0,0.0,6144,1203
52,15.43,58.0,16313,9548,0,0,40.0,19.58,0.0,0.0,6144,1203
53,35.55,58.0,16313,9548,0,0,34.0,19.58,0.0,0.0,6144,1203
54,26.37,58.0,16313,9562,0,0,33.0,19.58,0.0,0.0,6144,1203
55,16.21,58.0,16313,9560,0,0,38.0,19.58,0.0,0.0,6144,1203
