Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
25.6,49,0,2,44
26.6,33,1,2,25
27.6,59,0,2,57
28.6,36,0,2,34
29.6,25,0,2,22
30.6,60,0,2,57
31.6,27,0,2,24
32.6,38,0,2,34
33.6,50,0,1,47
34.6,28,0,3,25
35.6,61,0,3,54
36.6,36,0,3,32
37.6,24,0,2,21
38.6,67,0,3,62
39.6,23,0,1,21
40.6,35,0,2,33
41.6,46,0,2,43
42.6,24,0,1,22
43.6,57,0,4,53
44.6,31,0,3,26
45.6,27,0,2,23
46.6,69,0,3,65
47.6,27,0,2,24
48.6,38,0,2,35
49.6,50,0,2,47
50.6,24,0,2,22
51.6,57,0,2,54
52.6,31,0,2,28
53.6,25,0,2,22
54.6,65,0,3,63
55.6,25,0,2,22
