Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.9,244.219,467.665,52.953,1125.122
26.9,257.196,510.657,49.807,1125.122
27.9,277.912,84.935,50.856,1125.122
28.9,277.912,180.355,50.856,1125.122
29.9,291.29,311.427,50.856,1125.122
30.9,291.29,399.507,50.856,1125.122
31.9,291.29,488.636,50.856,1125.122
32.9,324.798,30.409,48.234,1125.122
33.9,324.798,118.489,48.234,1125.122
34.9,338.126,327.156,45.613,1125.122
35.9,350.378,23.069,48.234,1125.122
36.9,350.378,205.521,48.234,1125.122
37.9,370.344,536.871,30.409,1125.122
38.9,370.344,274.727,50.332,1125.122
39.9,370.344,377.487,50.332,1125.122
40.9,391.437,228.59,40.894,1125.122
41.9,391.437,450.888,40.894,1125.122
42.9,413.152,211.812,38.273,1125.122
43.9,413.152,364.904,38.273,1125.122
44.9,413.152,452.985,38.273,1125.122
45.9,435.518,413.139,38.273,1125.122
46.9,444.754,131.072,42.992,1125.122
47.9,444.754,325.059,42.992,1125.122
48.9,467.627,56.623,44.564,1125.122
49.9,467.627,334.496,44.564,1125.122
50.9,480.836,383.779,36.176,1125.122
51.9,489.825,432.013,34.603,1125.122
52.9,504.365,283.116,31.457,1125.122
53.9,517.066,81.789,37.749,1125.122
54.9,517.066,311.427,37.749,1125.122
