Time (s),CPU (%),Mem (%),Mem Total (MB),Mem Used (MB),Protocol (FPS),Protocol RTT (ms),GPU0 (%),GPU0 Mem (%),GPU0 Encode (%),GPU0 Decode (%),GPU0 Mem Total (MB),GPU0 Mem Used (MB)
25,72.27,61.0,16313,10058,0,0,26.0,21.44,0.0,0.0,6144,1317
26,25.59,61.0,16313,10075,0,0,37.0,21.44,0.0,0.0,6144,1317
27,52.12,61.0,16313,10078,0,0,36.0,21.44,0.0,0.0,6144,1317
28,52.54,62.0,16313,10169,0,0,27.0,22.15,0.0,0.0,6144,1361
29,25.77,62.0,16313,10171,0,0,40.0,22.15,0.0,0.0,6144,1361
30,75.96,62.0,16313,10224,0,0,30.0,22.35,0.0,0.0,6144,1373
31,22.46,62.0,16313,10273,0,0,32.0,22.87,0.0,0.0,6144,1405
32,29.3,62.0,16313,10273,0,0,40.0,22.9,0.0,0.0,6144,1407
33,71.29,63.0,16313,10374,0,0,28.0,23.62,0.0,0.0,6144,1451
34,24.41,63.0,16313,10374,0,0,41.0,23.62,0.0,0.0,6144,1451
35,56.05,63.0,16313,10376,0,0,35.0,23.62,0.0,0.0,6144,1451
36,53.52,64.0,16313,10472,0,0,30.0,24.33,0.0,0.0,6144,1495
37,32.03,63.0,16313,10314,0,0,37.0,24.33,0.0,0.0,6144,1495
38,75.38,63.0,16313,10348,0,0,31.0,24.5,0.0,0.0,6144,1505
39,23.44,63.0,16313,10378,0,0,36.0,25.08,0.0,0.0,6144,1541
40,30.66,63.0,16313,10374,0,0,39.0,25.08,0.0,0.0,6144,1541
41,72.46,64.0,16313,10451,0,0,28.0,25.83,0.0,0.0,6144,1587
42,25.78,64.0,16313,10460,0,0,39.0,25.83,0.0,0.0,6144,1587
43,57.23,64.0,16313,10460,0,0,35.0,25.83,0.0,0.0,6144,1587
44,45.12,64.0,16313,10528,0,0,32.0,26.58,0.0,0.0,6144,1633
45,24.22,64.0,16313,10527,0,0,40.0,26.58,0.0,0.0,6144,1633
46,75.39,64.0,16313,10584,0,0,30.0,26.77,0.0,0.0,6144,1645
47,22.85,65.0,16313,10627,0,0,35.0,27.29,0.0,0.0,6144,1677
48,36.72,64.0,16313,10563,0,0,36.0,27.29,0.0,0.0,6144,1677
49,72.46,64.0,16313,10597,0,0,28.0,28.01,0.0,0.0,6144,1721
50,27.15,65.0,16313,10614,0,0,41.0,28.01,0.0,0.0,6144,1721
51,57.5,65.0,16313,10614,0,0,35.0,28.04,0.0,0.0,6144,1723
52,43.16,65.0,16313,10626,0,0,32.0,28.76,0.0,0.0,6144,1767
53,23.24,65.0,16313,10628,0,0,40.0,28.76,0.0,0.0,6144,1767
54,81.64,65.0,16313,10635,0,0,29.0,28.92,0.0,0.0,6144,1777
