dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,99.615,,
1.0,,102.75999999999999,,
1.0,,101.71199999999999,,
1.0,,,,
1.0,,102.76100000000001,,
1.0,,101.71199999999999,,
1.0,,101.71199999999999,,
1.0,,,,
1.0,,99.61500000000001,,
1.0,,99.61399999999998,,
1.0,,100.66400000000002,,
1.0,,,,
1.0,,101.71199999999999,,
1.0,,98.56600000000002,,
1.0,,101.71199999999999,,
1.0,,99.61500000000001,,
1.0,,,0.009000000000000008,
1.0,,102.75999999999999,,
1.0,,97.518,,
1.0,,100.66299999999998,,
1.0,,101.71199999999999,,
1.0,,,0.0050000000000000044,
1.0,,99.615,,
1.0,,101.71199999999999,,
1.0,,100.66300000000001,,
1.0,,,0.0030000000000000027,
1.0,,97.517,,
1.0,,100.66400000000002,,
1.0,,98.56599999999997,,
