dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,53.477000000000004,,
1.0,,,0.04800000000000004,
1.0,,52.429,,
1.0,,54.525999999999996,,
1.0,,54.52600000000001,,
1.0,,,0.35299999999999976,
1.0,,52.428999999999995,,
1.0,,51.379999999999995,,
1.0,,51.381,,
1.0,,,1.0540000000000003,
1.0,,52.429,,
1.0,,53.477000000000004,,
1.0,,53.47799999999998,,
1.0,,54.52600000000001,,
1.0,,,,
1.0,,52.429,,
1.0,,54.525999999999996,,
1.0,,52.429000000000016,,
1.0,,52.429,,
1.0,,,,
1.0,,54.525999999999996,,
1.0,,56.623000000000005,,
1.0,,54.52600000000001,,
1.0,,55.573999999999984,,
1.0,,,,
1.0,,53.477000000000004,,
1.0,,52.428999999999995,,
1.0,,53.477000000000004,,
1.0,,50.331999999999994,,
