dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,,0.01499999999999968,
1.0,,72.351,,
1.0,,71.30399999999999,,
1.0,,,0.125,
1.0,,70.255,,
1.0,,63.962999999999994,,
1.0,,72.351,,
1.0,,,0.11699999999999999,
1.0,,67.109,,
1.0,,68.157,,
1.0,,66.061,,
1.0,,,0.012000000000000455,
1.0,,75.498,,
1.0,,73.39999999999999,,
1.0,,,,
1.0,,49.283,,
1.0,,70.254,,
1.0,,69.206,,
1.0,,70.255,,
1.0,,,0.9989999999999999,
1.0,,70.255,,
1.0,,73.4,,
1.0,,73.40100000000001,,
1.0,,74.44900000000001,,
1.0,,,0.052000000000000046,
1.0,,72.351,,
1.1000000000000014,,69.20600000000002,,
1.0,,70.25499999999997,,
1.0,,,0.028000000000000025,
