dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,,0.45099999999999696,
1.0,,187.695,,
1.0,,198.18099999999998,,
1.0,,199.22899999999998,,
1.0,,,,
1.0,,169.869,,
1.0000000000000036,,166.72400000000005,,
1.0,,167.77199999999993,,
1.0,,,0.11899999999999977,
1.0,,188.74399999999997,,
1.0,,203.423,,
1.0,,195.036,,
1.0,,,,
1.0,,174.064,,
1.0,,165.675,,
1.0,,170.91799999999995,,
1.0,,,,
1.0,,198.181,,
1.0,,200.27800000000002,,
1.0,,205.52100000000002,,
1.0,,,0.32700000000000173,
1.0,,180.35500000000002,,
1.0,,171.967,,
1.0,,176.161,,
1.0,,189.79200000000003,,
1.0,,,,
1.0,,212.861,,
1.0,,211.813,,
1.0,,189.79200000000003,,
