dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,94.37199999999996,,
1.0,,99.61399999999998,,
1.0,46.803000000000026,,,
1.0,,103.809,,
1.0,,99.61500000000001,,
1.0,,98.566,,
1.0,,102.76099999999997,,
1.0,,103.80900000000003,,
1.0,,103.80899999999997,,
1.0,,,1.5730000000000004,
1.0,,94.37199999999999,,
1.0,,97.518,,
1.0,,98.566,,
1.0,,100.66300000000001,,
1.0,,101.71200000000005,,
1.0,,103.80899999999997,,
1.0,,,,
1.0,,105.906,,
1.0,,103.809,,
1.0,,99.61499999999998,,
1.0,,92.274,,
1.0,,97.51799999999997,,
1.0,,99.61500000000001,,
1.0,,,,
1.0,,109.05199999999999,,
1.0,,106.95500000000001,,
1.0,,105.906,,
1.0,,103.80899999999997,,
1.0,,99.61500000000001,,
