dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,77.07100000000003,,,
1.0,,199.23000000000002,,
1.0,,199.22899999999998,,
1.0,,,,
1.0,,204.472,,
1.0,,200.27800000000002,,
1.0,,,,
1.0,,192.93800000000002,,
1.0,,203.42299999999997,,
1.0,,208.66700000000003,,
1.0,,,,
1.0,,202.375,,
1.0,,207.61800000000005,,
1.0,,,,
1.0,,209.71499999999997,,
1.0,,205.52100000000002,,
1.0,,208.66699999999997,,
1.0,,,,
1.0,,213.909,,
1.0,,214.95799999999997,,
1.0,,,0.029000000000000026,
1.0,,216.00599999999997,,
1.0,,214.95800000000003,,
1.0,,214.95899999999995,,
1.0,,,,
1.0,,211.813,,
1.0,,211.812,,
1.0,,,,
1.0,,211.812,,
