dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,91.226,,
1.0,,92.27500000000003,,
1.0,,95.41999999999996,,
1.0,,95.42100000000005,,
1.0,,94.37199999999996,,
1.0,44.551999999999964,,,
1.0000000000000036,,96.46900000000001,,
1.0,,95.42099999999999,,
1.0,,93.32299999999998,,
1.0,,93.32300000000004,,
1.0,,92.27499999999998,,
1.0,,92.27499999999998,,
1.0,,,1.049000000000003,
1.0,,94.372,,
1.0,,94.37199999999999,,
1.0,,95.41999999999999,,
1.0,,95.42100000000005,,
1.0,,92.27499999999998,,
1.0,,93.32299999999998,,
1.0,,93.32299999999998,,
1.0,,,,
1.0,,92.275,,
1.0,,95.41999999999999,,
1.0,,95.42099999999999,,
1.0,,95.42000000000002,,
1.0,,96.46900000000005,,
1.0,,90.178,,
1.0,,92.274,,
1.0,,,,
