dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,,170.917,,
1.0,,,,
1.0,,228.589,,
1.0,,182.453,,
1.0,,355.467,,
1.0,,,63.93900000000001,
1.0,,186.646,,
1.0,,332.399,,
1.0,,176.16100000000006,,
1.0,67.33900000000006,,,
1.0,,204.472,,
1.0,,180.35500000000002,,
1.0,,,40.267999999999994,
1.0,,186.647,,
1.0,,190.841,,
1.0,34.658000000000015,,21.49600000000001,
1.0,,190.841,,
1.0,,324.01,,
1.0,96.18399999999997,,,
1.0,,207.618,,
1.0,,360.71,,
1.0,,,34.602999999999994,
1.0,,209.71599999999998,,
1.0,,352.321,,
1.0,32.399,,,
1.0,,328.20399999999995,,
1.0,,227.541,,
1.0,33.660999999999945,,,
1.0,,354.419,,
