dif pos Uptime (s),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
,,,,
1.0,33.14000000000004,144.704,,
1.0,,94.37199999999999,,
1.0,,87.031,,
1.0,22.902999999999963,160.433,,
1.0,,,20.971999999999994,
1.0,,339.739,,
1.0,29.156000000000006,,,
1.0,,91.226,,
1.0,22.783999999999992,,4.7180000000000035,
1.0,,89.12899999999999,,
1.0,,92.27499999999998,,
1.0,25.712999999999965,,,
1.1000000000000014,,96.469,,
1.0,14.301000000000045,,,
1.0,11.230999999999995,68.15699999999998,1.125,
1.0,,94.37200000000001,,
1.0,26.187000000000012,,,
1.0,,92.27499999999998,,
1.0,13.503000000000043,,,
1.0,22.948999999999955,,,
1.0,,81.78900000000002,,
1.0,12.614000000000033,,,
1.0,9.630999999999972,147.849,1.6499999999999986,
1.0,,92.27499999999998,,
1.0,29.744000000000028,,,
1.0,,92.27499999999999,,
1.0,,95.42099999999999,,
1.0,30.535999999999945,,0.5240000000000009,
1.0,,93.32300000000001,,
