Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10500,724109312,10485760,124256256,1732247552
11500,561332224,2097152,54525952,1732247552
12500,655704064,4194304,54525952,1732247552
13600,548472832,1048576,4194304,1732247552
15500,330369024,276824064,4194304,891289600
16500,330369024,397410304,4194304,891289600
17500,330369024,497025024,4194304,891289600
18500,270600192,46137344,49051648,940572672
19500,270600192,147849216,49051648,940572672
20500,270600192,251658240,49051648,940572672
21500,319519744,23068672,4194304,940572672
22500,319519744,126877696,4194304,940572672
23600,319519744,224395264,4194304,940572672
24600,319519744,327155712,4194304,940572672
25600,319519744,61865984,1666048,940572672
26600,319519744,161480704,1666048,940572672
27600,319519744,264241152,1666048,940572672
28600,319519744,365953024,1666048,940572672
29600,319519744,68157440,324608,940572672
30600,319519744,170917888,324608,940572672
31600,319519744,272629760,324608,940572672
32600,319519744,374341632,324608,940572672
33600,319519744,52428800,229376,940572672
34600,319519744,152043520,229376,940572672
35600,319519744,251658240,229376,940572672
36600,319519744,352321536,229376,940572672
37600,319519744,11534336,185344,940572672
38600,319519744,113246208,185344,940572672
39600,319519744,211812352,185344,940572672
40600,319519744,313524224,185344,940572672
41600,319519744,413138944,185344,940572672
42600,319519744,54525952,193536,940572672
43600,319519744,157286400,193536,940572672
44600,319519744,254803968,193536,940572672
45600,319519744,355467264,193536,940572672
46600,319519744,457179136,193536,940572672
47600,319519744,88080384,198656,940572672
48600,319519744,187695104,198656,940572672
49600,319519744,289406976,198656,940572672
50600,319519744,390070272,198656,940572672
51600,319519744,12582912,201728,940572672
52600,319519744,110100480,201728,940572672
53600,319519744,210763776,201728,940572672
54600,319519744,309329920,201728,940572672
55600,319519744,411041792,201728,940572672
56600,319519744,22020096,203776,940572672
57600,319519744,120586240,203776,940572672
58600,319519744,222298112,203776,940572672
59600,319519744,321912832,203776,940572672
