Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10600,204401664,19922944,6291456,334495744
11600,204401664,38797312,6291456,334495744
12600,212756480,166723584,8388608,668991488
13600,271532032,127926272,25165824,668991488
14600,296173568,55574528,8388608,668991488
15600,296173568,105906176,8388608,668991488
16600,296173568,8388608,10193920,668991488
17600,296173568,61865984,10193920,668991488
18600,296173568,114294784,10193920,668991488
19600,296173568,163577856,10193920,668991488
20600,296173568,51380224,9931776,668991488
21600,296173568,104857600,9931776,668991488
22600,296173568,157286400,9931776,668991488
23600,296173568,26214400,10437632,668991488
24600,296173568,77594624,10437632,668991488
25600,296173568,132120576,10437632,668991488
26600,296173568,185597952,10437632,668991488
27600,296173568,41943040,10485760,668991488
28600,296173568,94371840,10485760,668991488
29600,296173568,148897792,10485760,668991488
30600,296173568,203423744,10485760,668991488
31600,296173568,31457280,10839040,668991488
32600,296173568,83886080,10839040,668991488
33600,296173568,135266304,10839040,668991488
34600,296173568,186646528,10839040,668991488
35600,296173568,0,11892736,668991488
36600,296173568,52428800,11892736,668991488
37600,296173568,105906176,11892736,668991488
38600,296173568,159383552,11892736,668991488
39600,296173568,213909504,11892736,668991488
40600,296173568,18874368,11341824,668991488
41600,296173568,71303168,11341824,668991488
42600,296173568,125829120,11341824,668991488
43600,296173568,178257920,11341824,668991488
44600,296173568,230686720,11341824,668991488
45600,163004416,25165824,10485760,591396864
46600,163004416,79691776,10485760,591396864
47600,163004416,136314880,10485760,591396864
48600,163004416,190840832,10485760,591396864
49600,163004416,246415360,10485760,591396864
50600,129027072,10485760,1402880,591396864
51600,129027072,63963136,1402880,591396864
52600,129027072,116391936,1402880,591396864
53600,129027072,169869312,1402880,591396864
54600,129027072,220200960,1402880,591396864
55600,129027072,272629760,1402880,591396864
56600,129027072,325058560,1402880,591396864
57600,129027072,27262976,2097152,591396864
58600,129027072,80740352,2097152,591396864
59600,129027072,135266304,2097152,591396864
