Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10500,561344512,3145728,122683392,1828716544
11500,702902272,114294784,122683392,1828716544
12500,466972672,343932928,13107200,1828716544
13500,496332800,462422016,38273024,1828716544
14500,590704640,738197504,38273024,1828716544
15500,470118400,253755392,98566144,1828716544
16500,487944192,650117120,98566144,1828716544
17500,527258624,308281344,114294784,1828716544
18500,527258624,488636416,114294784,1828716544
19500,527258624,661651456,114294784,1828716544
20500,688746496,135266304,102760448,1828716544
21500,688746496,316669952,102760448,1828716544
22500,688746496,486539264,102760448,1828716544
23500,792518656,69206016,4194304,1828716544
24500,792518656,232783872,4194304,1828716544
25500,792518656,404750336,4194304,1828716544
26500,792518656,593494016,4194304,1828716544
27500,792518656,171966464,4184064,1828716544
28500,792518656,370147328,4184064,1828716544
29500,792518656,557842432,4184064,1828716544
30500,792518656,74448896,1048576,1828716544
31500,792518656,241172480,1048576,1828716544
32500,792518656,407896064,1048576,1828716544
33500,792518656,585105408,1048576,1828716544
34500,792518656,84934656,496640,1828716544
35500,792518656,281018368,496640,1828716544
36500,792518656,484442112,496640,1828716544
37500,792518656,676331520,496640,1828716544
38500,792518656,130023424,429056,1828716544
39500,792518656,292552704,429056,1828716544
40500,792518656,460324864,429056,1828716544
41500,792518656,634388480,429056,1828716544
42500,792518656,81788928,439296,1828716544
43500,792518656,290455552,439296,1828716544
44500,792518656,497025024,439296,1828716544
45500,792518656,695205888,439296,1828716544
46500,792518656,110100480,432128,1828716544
47500,792518656,282066944,432128,1828716544
48500,792518656,452984832,432128,1828716544
49500,792518656,638582784,432128,1828716544
50500,792518656,51380224,429056,1828716544
51500,792518656,260046848,429056,1828716544
52500,792518656,467664896,429056,1828716544
53500,792518656,663748608,429056,1828716544
54500,792518656,48234496,471040,1828716544
55500,792518656,216006656,471040,1828716544
56500,792518656,386924544,471040,1828716544
57500,792518656,570425344,471040,1828716544
58500,792518656,766509056,471040,1828716544
59500,792518656,169869312,424960,1828716544
