Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10600,194795520,58720256,5476352,643825664
11600,194795520,78643200,5476352,643825664
12600,249959424,48234496,25165824,643825664
13600,268406784,57671680,12038144,643825664
14600,268406784,118489088,12038144,643825664
15600,279941120,45088768,5127168,643825664
16600,279941120,108003328,5127168,643825664
17600,279941120,18874368,4923392,643825664
18600,279941120,88080384,4923392,643825664
19600,279941120,155189248,4923392,643825664
20600,279941120,38797312,4974592,643825664
21600,279941120,106954752,4974592,643825664
22600,279941120,176160768,4974592,643825664
23600,279941120,42991616,5451776,643825664
24600,279941120,110100480,5451776,643825664
25600,279941120,175112192,5451776,643825664
26600,279941120,23068672,5467136,643825664
27600,279941120,95420416,5467136,643825664
28600,279941120,166723584,5467136,643825664
29600,279941120,0,5592064,643825664
30600,279941120,70254592,5592064,643825664
31600,279941120,134217728,5592064,643825664
32600,279941120,206569472,5592064,643825664
33600,279941120,27262976,5708800,643825664
34600,279941120,94371840,5708800,643825664
35600,279941120,162529280,5708800,643825664
36600,279941120,228589568,5708800,643825664
37600,147820544,46137344,5721088,538968064
38600,147820544,121634816,5721088,538968064
39600,147820544,195035136,5721088,538968064
40600,147820544,3145728,5242880,538968064
41600,109004800,52428800,801792,538968064
42600,109004800,122683392,801792,538968064
43600,109004800,191889408,801792,538968064
44600,109004800,262144000,801792,538968064
45600,109004800,13631488,1801216,538968064
46600,109004800,83886080,1801216,538968064
47600,109004800,157286400,1801216,538968064
48600,109004800,230686720,1801216,538968064
49600,109004800,305135616,1801216,538968064
50600,109004800,57671680,1853440,538968064
51600,109004800,130023424,1853440,538968064
52700,109004800,199229440,1853440,538968064
53700,109004800,269484032,1853440,538968064
54700,109004800,16777216,1881088,381681664
55700,109004800,88080384,1881088,381681664
56700,109004800,160432128,1881088,381681664
57700,109004800,234881024,1881088,381681664
58700,109004800,38797312,1688576,383778816
