Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10700,532064256,2097152,124256256,1753219072
11700,722905088,8388608,124256256,1753219072
12700,468639744,141557760,10485760,1520435200
13700,425648128,25165824,46137344,1520435200
14700,520019968,463470592,46137344,1520435200
15700,465954816,143654912,87031808,1520435200
16700,513140736,509607936,87031808,1520435200
17700,527360000,346030080,46137344,1520435200
18700,699326464,137363456,82837504,1520435200
19700,699326464,299892736,82837504,1520435200
20700,397644800,115343360,19922944,1440743424
21700,397644800,300941312,19922944,1440743424
22700,397644800,117440512,20971520,1440743424
23700,397644800,282066944,20971520,1440743424
24700,397644800,430964736,20971520,1440743424
25700,397644800,592445440,20971520,1440743424
26700,397644800,114294784,21423104,1440743424
27700,397644800,301989888,21423104,1440743424
28700,397644800,500170752,21423104,1440743424
29700,397644800,699400192,21423104,1440743424
30700,397644800,183500800,20282368,1440743424
31700,397644800,353370112,20282368,1440743424
32700,397644800,520093696,20282368,1440743424
33700,397644800,687865856,20282368,1440743424
34700,397644800,111149056,20401152,1440743424
35700,397644800,299892736,20401152,1440743424
36700,397644800,503316480,20401152,1440743424
37700,397644800,698351616,20401152,1440743424
38700,397644800,118489088,19922944,1440743424
39700,397644800,292552704,19922944,1440743424
40700,397644800,458227712,19922944,1440743424
41700,397644800,629145600,19922944,1440743424
42700,397644800,18874368,19922944,1440743424
43700,397644800,217055232,19922944,1440743424
44700,397644800,417333248,19922944,1440743424
45700,397644800,622854144,19922944,1440743424
46700,397644800,4194304,20249600,1440743424
47700,397644800,184549376,20249600,1440743424
48700,397644800,356515840,20249600,1440743424
49700,397644800,532676608,20249600,1440743424
50700,397644800,722468864,20249600,1440743424
51700,397644800,102760448,19866624,1440743424
52700,397644800,315621376,19866624,1440743424
53700,397644800,527433728,19866624,1440743424
54700,397644800,717225984,19866624,1440743424
55700,397644800,58720256,20252672,1440743424
56700,397644800,225443840,20252672,1440743424
57700,397644800,392167424,20252672,1440743424
