Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10600,118370304,15728640,4194304,180355072
11600,188005376,73400320,12582912,360710144
12600,79520768,23068672,13631488,325058560
13700,29981696,1048576,1973248,218103808
15600,109584384,93323264,44040192,666894336
16700,153050112,201326592,42985472,1140850688
18700,200043520,312475648,68681728,1266679808
20600,200043520,613416960,68681728,1266679808
21600,220272640,19922944,91750400,1266679808
22600,220272640,116391936,91750400,1266679808
23600,220272640,214958080,91750400,1266679808
24600,220272640,314572800,91750400,1266679808
25600,220272640,416284672,91750400,1266679808
26600,220272640,510656512,91750400,1266679808
27600,220272640,610271232,91750400,1266679808
28600,267075584,46137344,46137344,1266679808
29600,267075584,149946368,46137344,1266679808
30600,267075584,249561088,46137344,1266679808
31600,267075584,348127232,46137344,1266679808
32600,267075584,450887680,46137344,1266679808
33600,267075584,554696704,46137344,1266679808
34600,267075584,658505728,46137344,1266679808
35600,267075584,48234496,47710208,1266679808
36600,267075584,142606336,47710208,1266679808
37600,267075584,240123904,47710208,1266679808
38600,267075584,338690048,47710208,1266679808
39600,267075584,439353344,47710208,1266679808
40600,267075584,541065216,47710208,1266679808
41600,267075584,644874240,47710208,1266679808
42600,267075584,39845888,47185920,1266679808
43600,267075584,145752064,47185920,1266679808
44600,267075584,249561088,47185920,1266679808
45600,267075584,349175808,47185920,1266679808
46600,267075584,441450496,47185920,1266679808
47600,267075584,538968064,47185920,1266679808
48600,267075584,638582784,47185920,1266679808
49600,267075584,31457280,47185920,1266679808
50600,267075584,140509184,47185920,1266679808
51600,267075584,247463936,47185920,1266679808
52600,267075584,353370112,47185920,1266679808
53600,267075584,457179136,47185920,1266679808
54600,267075584,556793856,47185920,1266679808
55600,267075584,655360000,47185920,1266679808
56600,267075584,36700160,47185920,1266679808
57600,267075584,137363456,47185920,1266679808
58600,267075584,244318208,47185920,1266679808
59700,267075584,355467264,47185920,1266679808
