Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10700,79991808,2097152,3145728,256901120
11700,203317248,30408704,6291456,335544320
12700,203317248,50331648,6291456,335544320
13700,42563584,0,12557312,371195904
14700,76424192,131072000,20562944,445644800
15700,164734976,353370112,28118016,976224256
16700,182803456,327155712,46661632,1115684864
17700,225802240,89128960,48758784,1242562560
18700,225802240,222298112,80740352,1242562560
19700,225802240,306184192,80740352,1242562560
20700,225802240,397410304,80740352,1242562560
21700,225802240,489684992,80740352,1242562560
22700,225802240,581959680,80740352,1242562560
23700,260169728,6291456,70778880,1242562560
24700,260169728,96468992,70778880,1242562560
25700,260169728,187695104,70778880,1242562560
26700,260169728,278921216,70778880,1242562560
27700,260169728,371195904,70778880,1242562560
28700,260169728,466616320,70778880,1242562560
29700,260169728,562036736,70778880,1242562560
30700,260169728,656408576,70778880,1242562560
31700,304721920,75497472,26214400,1242562560
32700,304721920,171966464,26214400,1242562560
33700,304721920,267386880,26214400,1242562560
34700,304721920,360710144,26214400,1242562560
35700,304721920,454033408,26214400,1242562560
36700,304721920,546308096,26214400,1242562560
37700,304721920,638582784,26214400,1242562560
38700,304721920,11534336,27262976,1242562560
39700,304721920,105906176,27262976,1242562560
40700,304721920,200278016,27262976,1242562560
41700,304721920,295698432,27262976,1242562560
42700,304721920,391118848,27262976,1242562560
43700,304721920,483393536,27262976,1242562560
44700,304721920,576716800,27262976,1242562560
45700,304721920,670040064,27262976,1242562560
46700,304721920,46137344,27262976,1242562560
47700,304721920,138412032,27262976,1242562560
48700,304721920,233832448,27262976,1242562560
49700,304721920,329252864,27262976,1242562560
50700,304721920,424673280,27262976,1242562560
51700,304721920,521142272,27262976,1242562560
52700,304721920,611319808,27262976,1242562560
53700,304721920,703594496,27262976,1242562560
54700,304721920,76546048,27262976,1242562560
55700,304721920,169869312,27262976,1242562560
56700,304721920,262144000,27262976,1242562560
57700,304721920,352321536,27262976,1242562560
58700,304721920,448790528,27262976,1242562560
59700,304721920,545259520,27262976,1242562560
