Uptime (ms),Used G1 Old Gen (bytes),Used G1 Eden Space (bytes),Used G1 Survivor Space (bytes),Allocated All Pools (bytes)
10900,617073664,65011712,2546688,1423966208
11900,506973184,238026752,8388608,1423966208
12900,453495808,118489088,36191232,1423966208
13900,542624768,473956352,36191232,1423966208
14900,508463104,263192576,61865984,1423966208
15900,468453376,22020096,68681728,1423966208
16900,468453376,409993216,68681728,1423966208
17900,499108864,268435456,67108864,1423966208
18900,629132288,137363456,75497472,1423966208
19900,707251200,290455552,27262976,1423966208
20900,413125632,47185920,9437184,1423966208
21900,413125632,348127232,9437184,1423966208
22900,413125632,560988160,9437184,1423966208
23900,413125632,91226112,73796608,1423966208
24900,413125632,455081984,73796608,1423966208
25900,484415488,17825792,51380224,1423966208
26900,484415488,229638144,51380224,1423966208
27900,534915072,6291456,53029888,1423966208
28900,534915072,167772160,53029888,1423966208
29900,534915072,477102080,53029888,1423966208
30900,588237824,198180864,24117248,1423966208
31900,588237824,364904448,24117248,1423966208
32900,588237824,242221056,59768832,1423966208
33900,588237824,380633088,59768832,1423966208
34900,645001216,101711872,48234496,1423966208
35900,645001216,417333248,48234496,1423966208
36900,692201472,102760448,54525952,1423966208
37900,692201472,390070272,54525952,1423966208
38900,591383552,96468992,9437184,1423966208
39900,591383552,243269632,9437184,1423966208
40900,591383552,96468992,32183296,1423966208
41900,591383552,233832448,32183296,1423966208
42900,591383552,430964736,32183296,1423966208
43900,593882112,219152384,69206016,1423966208
44900,593882112,364904448,69206016,1423966208
45900,659295232,171966464,46661632,1423966208
46900,659295232,386924544,46661632,1423966208
47900,703581184,72351744,49807360,1423966208
48900,691522560,7340032,9437184,1423966208
49900,691522560,146800640,9437184,1423966208
50900,691522560,367001600,9437184,1423966208
51900,691522560,242221056,17825792,1423966208
52900,691522560,392167424,17825792,1423966208
53900,657112064,209715200,4194304,1423966208
54900,657112064,429916160,4194304,1423966208
55900,657112064,94371840,53308416,1423966208
56900,709186560,40894464,47185920,1423966208
57900,709186560,178257920,47185920,1423966208
58900,709186560,365953024,47185920,1423966208
59900,754961408,285212672,15728640,1423966208
