Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10500,,,,
11500,,,,
12500,94.37199999999996,2.097,,
13600,,,,
15500,,275.77500000000003,,
16500,,120.58600000000001,,
17500,,99.61499999999995,,
18500,,,44.858,49.283000000000015
19500,,101.71199999999999,,
20500,,103.809,,
21500,48.91999999999996,,,
22500,,103.809,,
23600,,97.51700000000001,,
24600,,102.761,,
25600,,,,
26600,,99.615,,
27600,,102.75999999999999,,
28600,,101.71199999999999,,
29600,,,,
30600,,102.76100000000001,,
31600,,101.71199999999999,,
32600,,101.71199999999999,,
33600,,,,
34600,,99.61500000000001,,
35600,,99.61399999999998,,
36600,,100.66400000000002,,
37600,,,,
38600,,101.71199999999999,,
39600,,98.56600000000002,,
40600,,101.71199999999999,,
41600,,99.61500000000001,,
42600,,,0.009000000000000008,
43600,,102.75999999999999,,
44600,,97.518,,
45600,,100.66299999999998,,
46600,,101.71199999999999,,
47600,,,0.0050000000000000044,
48600,,99.615,,
49600,,101.71199999999999,,
50600,,100.66300000000001,,
51600,,,0.0030000000000000027,
52600,,97.517,,
53600,,100.66400000000002,,
54600,,98.56599999999997,,
55600,,101.71199999999999,,
56600,,,0.001999999999999974,
57600,,98.566,,
58600,,101.712,,
59600,,99.61500000000001,,
