Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,,18.874,,
12600,8.354000000000013,127.92699999999999,2.097999999999999,334.495
13600,58.77599999999998,,16.777,
14600,24.641999999999996,,,
15600,,50.331,,
16600,,,1.8050000000000015,
17600,,53.477000000000004,,
18600,,52.429,,
19600,,49.283,,
20600,,,,
21600,,53.478,,
22600,,52.428,,
23600,,,0.5060000000000002,
24600,,51.381,,
25600,,54.52600000000001,,
26600,,53.477000000000004,,
27600,,,0.04800000000000004,
28600,,52.429,,
29600,,54.525999999999996,,
30600,,54.52600000000001,,
31600,,,0.35299999999999976,
32600,,52.428999999999995,,
33600,,51.379999999999995,,
34600,,51.381,,
35600,,,1.0540000000000003,
36600,,52.429,,
37600,,53.477000000000004,,
38600,,53.47799999999998,,
39600,,54.52600000000001,,
40600,,,,
41600,,52.429,,
42600,,54.525999999999996,,
43600,,52.429000000000016,,
44600,,52.429,,
45600,,,,
46600,,54.525999999999996,,
47600,,56.623000000000005,,
48600,,54.52600000000001,,
49600,,55.573999999999984,,
50600,,,,
51600,,53.477000000000004,,
52600,,52.428999999999995,,
53600,,53.477000000000004,,
54600,,50.331999999999994,,
55600,,52.429,,
56600,,52.42900000000003,,
57600,,,0.694,
58600,,53.47699999999999,,
59600,,54.525999999999996,,
