Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,,,122.521,
12600,104.85799999999995,1.048,,
13600,,,,
14600,38.797000000000025,62.915,,
15600,,180.355,,
16600,,184.549,,
17600,,,36.699999999999996,40.894000000000005
18600,,243.26999999999998,,
19600,40.37099999999998,,,
20600,,195.03500000000003,,
21600,,,,
22600,,,,
23600,,236.978,,
24600,,,,
25600,,272.63,,
26600,,,,
27600,,268.435,,
28600,,,,
29600,,269.48400000000004,,
30600,,,0.0040000000000000036,
31600,,276.824,,
32600,,,,
33600,,275.77599999999995,,
34600,,,0.01100000000000001,
35600,,263.193,,
36600,,,,
37600,,,,
38600,,269.48400000000004,,
39600,,,0.0020000000000000018,
40600,,282.067,,
41600,,,0.006000000000000005,
42600,,278.921,,
43600,,,,
44600,,271.58099999999996,,
45600,,,0.007000000000000006,
46600,,282.067,,
47600,0.013000000000033651,,,
48600,,274.727,,
49600,0.007999999999981355,,,
50600,,269.484,,
51600,0.009000000000014552,,,
52600,,277.87199999999996,,
53600,0.005999999999971806,,0.0050000000000000044,
54600,,270.53299999999996,,
55600,0.012000000000000455,,0.0050000000000000044,
56600,,276.82399999999996,,
57600,0.006000000000028649,,,
58600,,279.97,,
59700,0.002999999999985903,,,
