Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,,19.923000000000002,,
12600,55.16300000000001,,19.69,
13600,18.44799999999998,9.437999999999995,,
14600,,60.81700000000001,,
15600,11.533999999999992,,,
16600,,62.914,,
17600,,,,
18600,,69.206,,
19600,,67.109,,
20600,,,0.0519999999999996,
21600,,68.158,,
22600,,69.206,,
23600,,,0.4770000000000003,
24600,,67.108,,
25600,,65.012,,
26600,,,0.01499999999999968,
27600,,72.351,,
28600,,71.30399999999999,,
29600,,,0.125,
30600,,70.255,,
31600,,63.962999999999994,,
32600,,72.351,,
33600,,,0.11699999999999999,
34600,,67.109,,
35600,,68.157,,
36600,,66.061,,
37600,,,0.012000000000000455,
38600,,75.498,,
39600,,73.39999999999999,,
40600,,,,
41600,,49.283,,
42600,,70.254,,
43600,,69.206,,
44600,,70.255,,
45600,,,0.9989999999999999,
46600,,70.255,,
47600,,73.4,,
48600,,73.40100000000001,,
49600,,74.44900000000001,,
50600,,,0.052000000000000046,
51600,,72.351,,
52700,,69.20600000000002,,
53700,,70.25499999999997,,
54700,,,0.028000000000000025,
55700,,71.303,,
56700,,72.35199999999999,,
57700,,74.44900000000001,,
58700,,,,2.09699999999998
