Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10700,,,,
11700,190.841,6.292,,
12700,,133.16899999999998,,
13700,,,35.650999999999996,
14700,94.37199999999996,438.305,,
15700,,,40.894999999999996,
16700,47.18599999999998,365.953,,
17700,14.219000000000051,,,
18700,171.966,,36.70099999999999,
19700,,162.52999999999997,,
20700,,,,
21700,,185.59799999999996,,
22700,,,1.049000000000003,
23700,,164.626,,
24700,,148.89799999999997,,
25700,,161.48000000000008,,
26700,,,0.45099999999999696,
27700,,187.695,,
28700,,198.18099999999998,,
29700,,199.22899999999998,,
30700,,,,
31700,,169.869,,
32700,,166.72400000000005,,
33700,,167.77199999999993,,
34700,,,0.11899999999999977,
35700,,188.74399999999997,,
36700,,203.423,,
37700,,195.036,,
38700,,,,
39700,,174.064,,
40700,,165.675,,
41700,,170.91799999999995,,
42700,,,,
43700,,198.181,,
44700,,200.27800000000002,,
45700,,205.52100000000002,,
46700,,,0.32700000000000173,
47700,,180.35500000000002,,
48700,,171.967,,
49700,,176.161,,
50700,,189.79200000000003,,
51700,,,,
52700,,212.861,,
53700,,211.813,,
54700,,189.79200000000003,,
55700,,,0.38599999999999923,
56700,,166.724,,
57700,,166.72299999999998,,
