Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,69.63499999999999,57.67100000000001,8.389,180.355
12600,,,1.048,
13700,,,,
15600,79.602,92.27399999999999,42.067,448.78999999999996
16700,43.46600000000001,108.004,,473.9570000000001
18700,46.994,111.149,25.697000000000003,125.82899999999995
20600,,300.94100000000003,,
21600,20.228999999999985,,23.067999999999998,
22600,,96.469,,
23600,,98.566,,
24600,,99.61499999999998,,
25600,,101.71200000000005,,
26600,,94.37199999999996,,
27600,,99.61399999999998,,
28600,46.803000000000026,,,
29600,,103.809,,
30600,,99.61500000000001,,
31600,,98.566,,
32600,,102.76099999999997,,
33600,,103.80900000000003,,
34600,,103.80899999999997,,
35600,,,1.5730000000000004,
36600,,94.37199999999999,,
37600,,97.518,,
38600,,98.566,,
39600,,100.66300000000001,,
40600,,101.71200000000005,,
41600,,103.80899999999997,,
42600,,,,
43600,,105.906,,
44600,,103.809,,
45600,,99.61499999999998,,
46600,,92.274,,
47600,,97.51799999999997,,
48600,,99.61500000000001,,
49600,,,,
50600,,109.05199999999999,,
51600,,106.95500000000001,,
52600,,105.906,,
53600,,103.80899999999997,,
54600,,99.61500000000001,,
55600,,98.56600000000003,,
56600,,,,
57600,,100.663,,
58600,,106.95500000000001,,
59700,,111.14899999999997,,
