Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,114.29499999999996,8.388000000000005,,
12600,,,63.649,
13600,123.73199999999997,58.72,,
14600,67.10900000000004,384.828,,
15600,,,,
16600,68.15700000000004,110.1,,
17700,83.88599999999997,127.92599999999999,,
19600,,,56.623000000000005,
20600,7.339999999999975,450.88800000000003,,
21600,172.62399999999997,,6.290999999999997,
22600,,183.50100000000003,,
23600,113.79200000000003,,,
24600,,197.132,,
25600,,199.23,,
26600,77.07100000000003,,,
27600,,199.23000000000002,,
28600,,199.22899999999998,,
29600,,,,
30600,,204.472,,
31600,,200.27800000000002,,
32600,,,,
33600,,192.93800000000002,,
34600,,203.42299999999997,,
35600,,208.66700000000003,,
36600,,,,
37600,,202.375,,
38600,,207.61800000000005,,
39600,,,,
40600,,209.71499999999997,,
41600,,205.52100000000002,,
42600,,208.66699999999997,,
43600,,,,
44600,,213.909,,
45600,,214.95799999999997,,
46600,,,0.029000000000000026,
47600,,216.00599999999997,,
48600,,214.95800000000003,,
49600,,214.95899999999995,,
50600,,,,
51600,,211.813,,
52600,,211.812,,
53600,,,,
54600,,211.812,,
55600,,210.764,,
56600,,211.81199999999995,,
57600,,,0.010000000000000009,
58600,,210.76399999999995,,
59600,,208.66600000000005,,
