Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10700,,,,
11700,123.325,28.311999999999998,3.1450000000000005,78.64299999999997
12700,,19.923000000000002,,
13700,,,6.266,35.652000000000044
14700,33.86000000000001,131.072,8.005999999999998,74.44899999999996
15700,88.311,222.298,7.555,530.5790000000001
16700,18.067999999999984,,18.544,139.4609999999999
17700,42.998999999999995,,2.0970000000000013,126.87800000000016
18700,,133.16899999999998,31.980999999999995,
19700,,83.88600000000002,,
20700,,91.226,,
21700,,92.27499999999998,,
22700,,92.27500000000003,,
23700,34.36800000000002,,,
24700,,90.178,,
25700,,91.226,,
26700,,91.226,,
27700,,92.27500000000003,,
28700,,95.41999999999996,,
29700,,95.42100000000005,,
30700,,94.37199999999996,,
31700,44.551999999999964,,,
32700,,96.46900000000001,,
33700,,95.42099999999999,,
34700,,93.32299999999998,,
35700,,93.32300000000004,,
36700,,92.27499999999998,,
37700,,92.27499999999998,,
38700,,,1.049000000000003,
39700,,94.372,,
40700,,94.37199999999999,,
41700,,95.41999999999999,,
42700,,95.42100000000005,,
43700,,92.27499999999998,,
44700,,93.32299999999998,,
45700,,93.32299999999998,,
46700,,,,
47700,,92.275,,
48700,,95.41999999999999,,
49700,,95.42099999999999,,
50700,,95.42000000000002,,
51700,,96.46900000000005,,
52700,,90.178,,
53700,,92.274,,
54700,,,,
55700,,93.323,,
56700,,92.275,,
57700,,90.178,,
58700,,96.469,,
59700,,96.469,,
