Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10600,,,,
11600,,89.129,3.117,
12600,,109.05199999999999,17.872999999999998,
13600,41.942999999999984,173.015,36.349000000000004,
14600,16.523000000000025,,12.771999999999998,298.845
15600,68.15699999999998,269.48400000000004,,
16600,,,20.447000000000003,
17600,7.339999999999975,397.41099999999994,,
18600,141.558,,4.718999999999994,
19600,,326.108,,
20600,97.14700000000005,,,
21600,,210.76399999999998,,
22600,56.545999999999935,,,
23600,,208.667,,
24600,,,25.133,
25600,,285.213,,
26600,,,,
27600,,340.78700000000003,,
28600,,214.95799999999997,,
29600,,,29.285999999999998,
30600,,377.488,,
31600,,219.152,,
32600,,,29.959000000000003,
33600,,355.468,,
34600,,241.17199999999997,,
35600,28.85899999999998,,,
36600,,235.92899999999997,,
37600,,213.90999999999997,,
38600,28.057000000000016,,,
39600,,216.00599999999997,,
40600,29.448000000000036,,,
41600,,340.78700000000003,,
42600,,213.90999999999997,,
43600,29.883999999999958,,,
44600,28.836000000000013,,,
45600,,279.97,,
46600,28.311999999999955,,,
47600,,406.847,,
48600,29.884000000000015,,,
49600,,,28.836,
50600,,305.135,,
51600,28.146000000000072,,,
52600,,249.56100000000004,,
53600,,,22.021,
54600,27.525999999999954,,1.5719999999999956,
55600,,353.37,,
56600,29.039999999999964,,,
57600,,84.935,20.970999999999997,
58600,28.86099999999999,,,
59600,,72.352,12.737000000000002,
