Uptime (ms),dif pos Used G1 Old Gen (MB),dif pos Used G1 Eden Space (MB),dif pos Used G1 Survivor Space (MB),dif pos Allocated All Pools (MB)
10800,,,,
11800,54.52600000000001,22.019999999999996,15.222000000000001,
12900,,,,
13900,,226.492,9.434,325.05799999999994
14900,6.763000000000005,,32.653,
15900,41.677,22.019999999999982,,130.024
16900,31.894999999999996,,16.253,140.50900000000001
17900,40.372,38.797000000000004,3.6700000000000017,
18900,20.256,216.007,23.593000000000004,204.4720000000001
19900,,125.82900000000001,,
20900,,93.32299999999998,,
21900,66.761,,,
22900,,108.00399999999999,,
23900,,93.32300000000001,,
24900,,118.489,13.555,
25900,,114.29500000000002,,
26900,12.977000000000032,42.99199999999996,,
27900,20.71599999999995,,1.0489999999999995,
28900,,95.41999999999999,,
29900,13.378000000000043,131.07200000000003,,
30900,,88.07999999999998,,
31900,,89.12900000000002,,
32900,33.50799999999998,,,
33900,,88.08000000000001,,
34900,13.327999999999975,208.667,,
35900,12.25200000000001,,2.621000000000002,
36900,,182.452,,
37900,19.966000000000008,331.35,,
38900,,,19.923000000000002,
39900,,102.76000000000005,,
40900,21.093000000000018,,,
41900,,222.29799999999997,,
42900,21.714999999999975,,,
43900,,153.09199999999998,,
44900,,88.08100000000002,,
45900,22.365999999999985,,,
46900,9.236000000000047,,4.718999999999994,
47900,,193.98700000000002,,
48900,22.87299999999999,,1.5720000000000027,
49900,,277.873,,
50900,13.209000000000003,49.283000000000015,,
51900,8.988999999999976,48.23399999999998,,
52900,14.54000000000002,,,
53900,12.701000000000022,,6.292000000000002,
54900,,229.63800000000003,,
55900,10.339999999999918,,,
56900,9.355000000000018,223.347,4.719000000000001,
57900,10.676000000000045,,,
58900,11.785999999999945,22.02,1.5730000000000004,
59900,,250.60999999999999,,
