time (ms),fps
13659,1
14003,4
15000,148
16001,544
17001,957
18001,1368
19000,1797
20000,2226
21000,2651
22000,3069
23001,3481
24001,3906
25001,4330
26001,4744
27000,5168
28001,5593
29000,6009
30001,6436
31000,6860
32000,7275
33000,7689
34000,8103
35001,8519
36002,8939
37001,9351
38000,9762
39001,10185
40001,10608
41002,11020
42001,11431
43001,11853
44000,12262
45001,12683
46001,13102
47001,13513
48006,13936
49000,14346
50001,14764
51001,15186
52007,15594
53000,16006
54000,16416
55000,16836
56000,17241
57000,17660
58000,18080
59000,18500
60002,18911
