"time (ms)","fps"
11295,1
12006,20
13003,170
14001,422
15001,707
16001,1014
17001,1341
18001,1673
19000,1992
20000,2308
21000,2643
22001,2973
23001,3302
24000,3626
25000,3935
26001,4277
27002,4623
28001,4966
29001,5299
30001,5633
31001,5941
32001,6285
33002,6609
34002,6934
35000,7257
36002,7575
37000,7924
38000,8287
39000,8633
40000,8973
41002,9308
42000,9640
43000,9975
44000,10312
45002,10661
46000,10999
47000,11351
48001,11703
49000,12057
50000,12406
51000,12753
52000,13090
53000,13422
54000,13748
55000,14091
56000,14437
57002,14794
58001,15150
59002,15497
60000,15845
