time (ms),fps
15246,1
16013,25
17001,111
18001,368
19001,764
20002,1150
21000,1517
22002,1833
23000,2108
24001,2401
25000,2741
26003,3149
27001,3602
28000,4034
29001,4417
30002,4740
31001,5028
32001,5327
33000,5675
34000,6090
35001,6542
36000,6987
37001,7376
38001,7700
39001,7988
40004,8286
41000,8628
42000,9059
43001,9534
44001,9987
45000,10394
46001,10734
47001,11032
48001,11339
49001,11702
50001,12129
51001,12607
52000,13063
53000,13464
54000,13802
55002,14094
56000,14399
57000,14760
58001,15187
59000,15664
60001,16113
