time (ms),fps
17805,1
18045,3
19002,305
20000,446
21001,654
22002,1071
23001,1494
24001,1944
25000,2393
26000,2838
27001,3287
28000,3737
29000,4176
30000,4634
31000,5088
32001,5549
33001,5983
34000,6446
35000,6918
36002,7385
37000,7841
38000,8312
39001,8769
40000,9245
41000,9711
42001,10186
43001,10664
44000,11150
45001,11636
46000,12119
47002,12612
48002,13100
49000,13586
50001,14070
51000,14551
52001,15031
53001,15509
54000,15989
55001,16469
56000,16948
57000,17425
58001,17900
59000,18377
60001,18852
