"time (ms)","fps"
11829,1
12401,2
13040,10
14017,40
15009,96
16014,175
17010,257
18004,366
19004,550
20001,744
21002,941
22004,1139
23003,1326
24002,1520
25003,1716
26004,1911
27003,2107
28002,2313
29001,2514
30000,2716
31003,2917
32000,3123
33004,3329
34002,3530
35003,3729
36004,3927
37000,4123
38004,4325
39003,4528
40003,4732
41003,4936
42003,5139
43004,5339
44001,5540
45004,5743
46004,5944
47003,6142
48002,6348
49003,6551
50002,6758
51003,6965
52000,7157
53000,7354
54000,7552
55004,7752
56005,7953
57002,8145
58003,8354
59000,8562
60004,8769
