"time (ms)","fps"
11432,1
12055,10
13004,100
14002,204
15000,318
16001,425
17003,512
18002,623
19001,812
20000,1025
21000,1155
22003,1352
23009,1518
24003,1672
25000,1851
26002,1973
27000,2141
28001,2325
29006,2456
30003,2637
31017,2792
32006,2937
33004,3113
34008,3238
35005,3393
36001,3575
37005,3695
38000,3860
39012,4008
40005,4145
41000,4314
42000,4435
43002,4591
44002,4754
45006,4852
46003,5010
47019,5148
48002,5272
49002,5432
50002,5544
51000,5683
52000,5847
53003,5959
54002,6111
55011,6241
56004,6371
57000,6523
58005,6638
59002,6781
60000,6939
