time (ms),fps
14934,1
15097,2
16001,219
17008,537
18002,703
19002,986
20004,1193
21004,1391
22001,1560
23003,1784
24000,1964
25003,2159
26001,2380
27000,2538
28001,2750
29000,2957
30002,3118
31003,3344
32005,3517
33001,3709
34001,3928
35001,4084
36004,4279
37001,4474
38004,4631
39002,4856
40005,5031
41003,5227
42005,5449
43000,5607
44001,5819
45005,6022
46002,6187
47003,6394
48012,6561
49004,6747
50002,6969
51005,7123
52001,7336
53001,7531
54002,7691
55001,7912
56001,8087
57004,8277
58000,8489
59002,8640
60000,8849
