time (ms),total frames,fps
13659,1,1
14003,4,3
15000,148,144
16001,544,396
17001,957,413
18001,1368,411
19000,1797,429
20000,2226,429
21000,2651,425
22000,3069,418
23001,3481,412
24001,3906,425
25001,4330,424
26001,4744,414
27000,5168,424
28001,5593,425
29000,6009,416
30001,6436,427
31000,6860,424
32000,7275,415
33000,7689,414
34000,8103,414
35001,8519,416
36002,8939,420
37001,9351,412
38000,9762,411
39001,10185,423
40001,10608,423
41002,11020,412
42001,11431,411
43001,11853,422
44000,12262,409
45001,12683,421
46001,13102,419
47001,13513,411
48006,13936,423
49000,14346,410
50001,14764,418
51001,15186,422
52007,15594,408
53000,16006,412
54000,16416,410
55000,16836,420
56000,17241,405
57000,17660,419
58000,18080,420
59000,18500,420
60002,18911,411
