time (ms),total frames,fps
11438,1,1
12026,5,4
13001,124,119
14000,338,214
15002,577,239
16000,818,241
17000,1069,251
18000,1321,252
19001,1555,234
20001,1806,251
21003,2061,255
22003,2308,247
23001,2559,251
24003,2808,249
25001,3062,254
26001,3316,254
27003,3570,254
28002,3824,254
29000,4081,257
30002,4336,255
31004,4585,249
32000,4832,247
33000,5078,246
34003,5324,246
35003,5566,242
36001,5815,249
37001,6070,255
38003,6324,254
39000,6579,255
40004,6832,253
41002,7083,251
42000,7337,254
43000,7589,252
44000,7837,248
45000,8088,251
46000,8346,258
47003,8608,262
48002,8870,262
49002,9130,260
50002,9386,256
51003,9642,256
52002,9893,251
53003,10145,252
54002,10386,241
55001,10632,246
56000,10884,252
57003,11141,257
58001,11398,257
59003,11654,256
60000,11909,255
