time (ms),total frames,fps
13582,1,1
14011,18,17
15001,264,246
16000,1044,780
17000,1899,855
18000,2948,1049
19000,3981,1033
20000,4780,799
21000,5858,1078
22000,6945,1087
23000,7934,989
24000,8989,1055
25000,10109,1120
26000,11164,1055
27000,12284,1120
28000,13391,1107
29000,14520,1129
30000,15678,1158
31000,16834,1156
32000,17946,1112
33000,19093,1147
34000,20199,1106
35000,21299,1100
36000,22441,1142
37000,23590,1149
38000,24719,1129
39000,25874,1155
40000,27056,1182
41000,28175,1119
42000,29341,1166
43000,30389,1048
44000,31518,1129
45000,32653,1135
46000,33833,1180
47001,34956,1123
48000,36103,1147
49000,37268,1165
50000,38391,1123
51000,39544,1153
52000,40700,1156
53000,41850,1150
54000,42988,1138
55001,44152,1164
56000,45305,1153
57000,46444,1139
58000,47612,1168
59000,48795,1183
60000,49903,1108
