time (ms),total frames,fps
11295,1,1
12006,20,19
13003,170,150
14001,422,252
15001,707,285
16001,1014,307
17001,1341,327
18001,1673,332
19000,1992,319
20000,2308,316
21000,2643,335
22001,2973,330
23001,3302,329
24000,3626,324
25000,3935,309
26001,4277,342
27002,4623,346
28001,4966,343
29001,5299,333
30001,5633,334
31001,5941,308
32001,6285,344
33002,6609,324
34002,6934,325
35000,7257,323
36002,7575,318
37000,7924,349
38000,8287,363
39000,8633,346
40000,8973,340
41002,9308,335
42000,9640,332
43000,9975,335
44000,10312,337
45002,10661,349
46000,10999,338
47000,11351,352
48001,11703,352
49000,12057,354
50000,12406,349
51000,12753,347
52000,13090,337
53000,13422,332
54000,13748,326
55000,14091,343
56000,14437,346
57002,14794,357
58001,15150,356
59002,15497,347
60000,15845,348
