time (ms),total frames,fps
15246,1,1
16013,25,24
17001,111,86
18001,368,257
19001,764,396
20002,1150,386
21000,1517,367
22002,1833,316
23000,2108,275
24001,2401,293
25000,2741,340
26003,3149,408
27001,3602,453
28000,4034,432
29001,4417,383
30002,4740,323
31001,5028,288
32001,5327,299
33000,5675,348
34000,6090,415
35001,6542,452
36000,6987,445
37001,7376,389
38001,7700,324
39001,7988,288
40004,8286,298
41000,8628,342
42000,9059,431
43001,9534,475
44001,9987,453
45000,10394,407
46001,10734,340
47001,11032,298
48001,11339,307
49001,11702,363
50001,12129,427
51001,12607,478
52000,13063,456
53000,13464,401
54000,13802,338
55002,14094,292
56000,14399,305
57000,14760,361
58001,15187,427
59000,15664,477
60001,16113,449
