time (ms),total frames,fps
17805,1,1
18045,3,2
19002,305,302
20000,446,141
21001,654,208
22002,1071,417
23001,1494,423
24001,1944,450
25000,2393,449
26000,2838,445
27001,3287,449
28000,3737,450
29000,4176,439
30000,4634,458
31000,5088,454
32001,5549,461
33001,5983,434
34000,6446,463
35000,6918,472
36002,7385,467
37000,7841,456
38000,8312,471
39001,8769,457
40000,9245,476
41000,9711,466
42001,10186,475
43001,10664,478
44000,11150,486
45001,11636,486
46000,12119,483
47002,12612,493
48002,13100,488
49000,13586,486
50001,14070,484
51000,14551,481
52001,15031,480
53001,15509,478
54000,15989,480
55001,16469,480
56000,16948,479
57000,17425,477
58001,17900,475
59000,18377,477
60001,18852,475
