time (ms),total frames,fps
11829,1,1
12401,2,1
13040,10,8
14017,40,30
15009,96,56
16014,175,79
17010,257,82
18004,366,109
19004,550,184
20001,744,194
21002,941,197
22004,1139,198
23003,1326,187
24002,1520,194
25003,1716,196
26004,1911,195
27003,2107,196
28002,2313,206
29001,2514,201
30000,2716,202
31003,2917,201
32000,3123,206
33004,3329,206
34002,3530,201
35003,3729,199
36004,3927,198
37000,4123,196
38004,4325,202
39003,4528,203
40003,4732,204
41003,4936,204
42003,5139,203
43004,5339,200
44001,5540,201
45004,5743,203
46004,5944,201
47003,6142,198
48002,6348,206
49003,6551,203
50002,6758,207
51003,6965,207
52000,7157,192
53000,7354,197
54000,7552,198
55004,7752,200
56005,7953,201
57002,8145,192
58003,8354,209
59000,8562,208
60004,8769,207
