time (ms),total frames,fps
15036,1,1
16008,50,49
17002,200,150
18002,537,337
19000,892,355
20000,1382,490
21000,1927,545
22001,2322,395
23000,2859,537
24000,3303,444
25000,3739,436
26000,4217,478
27001,4598,381
28000,5102,504
29000,5634,532
30001,6017,383
31000,6554,537
32003,7033,479
33009,7489,456
34000,8042,553
35001,8415,373
36001,8932,517
37000,9467,535
38000,9858,391
39000,10416,558
40002,10886,470
41000,11324,438
42000,11892,568
43000,12268,376
44000,12780,512
45001,13354,574
46000,13736,382
47001,14292,556
48007,14780,488
49000,15207,427
50001,15809,602
51000,16208,399
52001,16768,560
53002,17353,585
54000,17731,378
55001,18329,598
56002,18783,454
57001,19169,386
58000,19756,587
59001,20123,367
60002,20580,457
