time (ms),total frames,fps
11732,1,1
12031,2,1
13004,84,82
14004,204,120
15002,328,124
16001,466,138
17003,597,131
18004,715,118
19013,822,107
20004,914,92
21005,981,67
22026,1050,69
23004,1107,57
24001,1163,56
25001,1259,96
26008,1347,88
27005,1419,72
28004,1518,99
29005,1583,65
30005,1663,80
31011,1763,100
32002,1819,56
33004,1909,90
34031,1985,76
35009,2045,60
36000,2130,85
37011,2190,60
38004,2260,70
39012,2347,87
40008,2399,52
41008,2478,79
42000,2542,64
43008,2602,60
44004,2687,85
45006,2741,54
46008,2810,69
47020,2892,82
48003,2938,46
49006,3011,73
50013,3079,68
51009,3135,56
52000,3213,78
53000,3265,52
54001,3330,65
55012,3409,79
56011,3456,47
57009,3527,71
58019,3589,62
59016,3641,52
60010,3716,75
